htid,author,title,year
coo.31924026291892,"JÃ¸rgensen, Johannes",Fra Vesuv til Skagen.,1909
coo.31924026293146,"Ingemann, Bernhard Severin",Kristen Bloks ungdomsstreger : fortÃ¦lling / af Bernhard Severin Ingemann.,1903
coo.31924026293146,"Ingemann, Bernhard Severin",Kristen Bloks ungdomsstreger : fortÃ¦lling / B.S. Ingemann ; med illus. af R. Christiansen.,1903
coo.31924026294128,"JÃ¸rgensen, Johannes",Helvedfjender.,1898
coo.31924026296537,"Pontoppidan, Henrik",Et endeligt : en landsbyhistorie / Henrik Pontoppidan.,1904
coo.31924026296586,"Pontoppidan, Henrik",Det ideale hjem.,1900
coo.31924026296594,"Pontoppidan, Henrik",Et kaerlighedseventyr.,1918
coo.31924026296610,"Pontoppidan, Henrik",Den kongelige gaest.,1908
coo.31924026296685,"Pontoppidan, Henrik",Natur : to smaa romaner / Henrik Pontoppidan.,1890
coo.31924026296735,"Pontoppidan, Henrik",Det store spÃ¸gelse.,1907
coo.31924028464794,"Pontoppidan, Henrik","En vinterrejse, nogle dagbogsblade.",1920
coo.31924029418765,"JÃ¸rgensen, Johannes","AlvernerbjÃ¦rget, med illustrationer og 2 kort ...",1920
coo.31924087677922,"Pontoppidan, Henrik",Lykke-Per / Henrik Pontoppidan. v.2,1905
hvd.32044105514640,"Jensen, Johannes V.",Singapore noveller / [af] Johannes V. Jensen.,1907
hvd.hnnav2, Henrik,Skyer : fort¾llinger fra provisoriernes dage / Henrik Pontoppidan.,1890
hvd.hnnavl,"Pontoppidan, Henrik",Kirkeskuden; en fortaelling.,1897
hvd.hnnavn,"Pontoppidan, Henrik",HÃ¸jsang; skildring fra alfarvej.,1896
hvd.hnnavv,"Pontoppidan, Henrik",Asgaardsrejen; et skuespil.,1906
hvd.hnnavx,"Pontoppidan, Henrik","Borgmester Hoeck og hustru, et dobbeltportraet / Henrik Pontoppidan.",1905
hvd.hnnaw5,"Pontoppidan, Henrik",De vilde fugle : et skuespil / Henrik Pontoppidan.,1902
hvd.hnnawa, Henrik,Sandinge menighed.,1883
hvd.hnnawf,"Pontoppidan, Henrik",Vildt.,1899
hvd.hnnawt,"Pontoppidan, Henrik",Lille RÃ¸dhÃ¦tte : et portrÃ¦t / Henrik Pontoppidan.,1900
hvd.hnnd4e, Bernhard Severin,Prins Otto af Danmark og hans samtid ; historisk roman. v.1-2,1835
hvd.hnnd98,"Gyllembourg, Thomasine",Breve fra og til Johan Ludvig Heiberg.,1862
hvd.hnt3pe,"Andersen NexÃ¸, Martin",Af dybets lovsang.,1908
hvd.hwqs6r,"Ingemann, Bernhard Severin",Folkedands-viser og blandede digte.,1842
hvd.hwqs7t,"Ingemann, Bernhard Severin",Samlede dramatiske digte / af Bernhard Sev. Ingemann. d.1-2,1853
hvd.hwqs7u,"Ingemann, Bernhard Severin",Samlede dramatiske digte / af Bernhard Sev. Ingemann. d.5-6,1853
hvd.hwqs7v,"Ingemann, Bernhard Severin",Samlede dramatiske digte / af Bernhard Sev. Ingemann. d.3-4,1853
hvd.hwqt8b,"Pontoppidan, Henrik",Lykke-Per / Henrik Pontoppidan. v.1,1905
hvd.hwqt8d, Henrik,Nattevagt / Henrik Pontoppidan.,1894
hvd.hwqtmv,"JÃ¸rgensen, Johannes",Hjemvee.,1894
hvd.hwqtmx,"JÃ¸rgensen, Johannes","Digte, 1894-1898.",1898
hvd.hwqtq2,"Jensen, Johannes V.",Skovene.,1904
hvd.hwqtq9,"JÃ¸rgensen, Johannes",Sommer.,1892
hvd.hwqtqx,"JÃ¸rgensen, Johannes",Livets trae.,1893
hvd.hwrdnv,"Andersen NexÃ¸, Martin",Muldskuld. v. 2,1905
hvd.hx5wiz,"Ingemann, Bernhard Severin",Samlede historiske digte og romaner. 1:12,1860
inu.30000120644517, Bernhard Severin,Valdemar den store og hans M¾nd : et historisk digt i to dele / af Bernhard Severin Ingemann.,1826
mdp.39015008812870,"Pontoppidan, Henrik",Muld. Et tidsbillede.,1892
mdp.39015024515184,"JÃ¸rgensen, Johannes","Stemninger, med tegninger af Viggo Pedersen.",1892
mdp.39015024515523,"Andersen NexÃ¸, Martin",Barndommens kyst.,1911
mdp.39015024515648,"Andersen NexÃ¸, Martin",Soldage.,1903
mdp.39015033098172,"Jensen, Johannes V.",Det tabte land; mennesket fÃ¸r istiden.,1919
mdp.39015033098412,"Jensen, Johannes V.",Skibet.,1912
mdp.39015063603057,"JÃ¸rgensen, Johannes",Danimarca ...,1921
mdp.39015063604790,"JÃ¸rgensen, Johannes",Romersk mosaik.,1901
njp.32101064725524,"Jensen, Johannes V.",Den store sommer.,1900
nyp.33433067385934,"Andersen, H. C.","Kun en spillemand, original roman i to dele.",1837
nyp.33433075776751,"Jensen, Johannes V.",Braeen : myter om istiden og det fÃ¸rste menneske / Johannes V. Jensen.,1908
nyp.33433075779607,"Andersen, H. C.",O.T.,1836
nyp.33433075779631,"Andersen NexÃ¸, Martin",Dryss.,1902
nyp.33433075783310, Henrik,Ung Elskov. Blade af en Mindekrans.,1885
nyp.33433075783328,"Pontoppidan, Henrik",Enslevs dÃ¸d.,1915
nyp.33433075866784,"Ingemann, Bernhard Severin","Samlede eventyr og fortÃ¦llinger, af Bernhard Severin Ingemann ... v.7-8",1845
nyp.33433075866826,"Ingemann, Bernhard Severin",GuldÃ¦blet : et eventyrdigt : i tolv sange / af B. S. Ingemann.,1856
nyp.33433075867964,"JÃ¸rgensen, Johannes",Lyrik.,1904
uc1.$b137536,"Gelsted, Otto",Enetaler; digte.,1922
uc1.$b139890,"BÃ¸nnelycke, Emil",Spartanerne; roman.,1919
uc1.$b139915,"BÃ¸nnelycke, Emil",Den troskyldige; skuespil i tre akter.,1920
uc1.$b139991,"BÃ¸nnelycke, Emil",Joschja Ogoll; novelle,1920
uc1.$b140001,"BÃ¸nnelycke, Emil",Asfaltens sange ; prosafragmenter.,1918
uc1.$b140002,"BÃ¸nnelycke, Emil",Aurora; roman.,1920
uc1.$b226790,"Pontoppidan, Henrik",Kirken og dens mÃ¦nd : et foredrag / Henrik Pontoppidan.,1914
uc1.$b482287,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 1,1915
uc1.$b482288,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 2,1915
uc1.$b482289,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 3,1915
uc1.$b482290,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 4,1915
uc1.$b482291,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 5,1915
uc1.$b482292,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 6,1915
uc1.$b482293,"JÃ¸rgensen, Johannes",Udvalgte vÃ¦rker / Johannes JÃ¸rgensen. v. 7,1915
uc1.$b482382, Martin,"Pelle erobreren, roman ... v.1",1906
uc1.$b482383, Martin,"Pelle erobreren, roman ... v.2",1906
uc1.$b482384, Martin,"Pelle erobreren, roman ... v.3",1907
uc1.$b482385, Martin,"Pelle erobreren, roman ... v.4",1907
uc1.$b482386, Martin,"Pelle erobreren, roman ... v.5",1909
uc1.$b482387, Martin,"Pelle erobreren, roman ... v.6",1909
uc1.$b482388, Martin,"Pelle erobreren, roman ... v.7",1910
uc1.$b482389, Martin,"Pelle erobreren, roman ... v.8",1910
uc1.$b482396,"Andersen NexÃ¸, Martin",Lykken; en fortÃ¦lling fra Bornholms nordland.,1913
uc1.$b485497,"BÃ¸nnelycke, Emil",Udvalgte digte.,1922
uc1.$b489430, Bernhard Severin,"B.S. Ingemanns historiske romaner, illustrerede af Sigurd Olrik, udgivne af P.E. Langballe ... v.2",1833
uc1.$b489431, Bernhard Severin,"B.S. Ingemanns historiske romaner, illustrerede af Sigurd Olrik, udgivne af P.E. Langballe ... v.3",1833
uc1.$b489451, Bernhard Severin,"Samlede eventyr og fort¾llinger, af Bernhard Severin Ingemann ... v.1-2",1845
uc1.$b489452, Bernhard Severin,"Samlede eventyr og fort¾llinger, af Bernhard Severin Ingemann ... v.3-4",1845
uc1.$b489455, Bernhard Severin,"Samlede eventyr og fort¾llinger, af Bernhard Severin Ingemann ... v.9-12",1850
uc1.$b489471, Bernhard Severin,"B.S. Ingemanns historiske romaner, illustrerede af Sigurd Olrik, udgivne af P.E. Langballe ... v.1",1828
uc1.$b500902,"JÃ¸rgensen, Johannes",LivslÃ¸gn og livssandhed / Johannes JÃ¸rgensen.,1896
uc1.$b500903,"JÃ¸rgensen, Johannes",Min livsanskuelse.,1913
uc1.$b536639,"Pontoppidan, Henrik",Reisebilder aus DaÌˆnemark : entworfen / H. Pontoppidan.,1890
uc1.a0000391003,"Jensen, Johannes V.","Aarbog, 1917 : med billeder / Johannes V. Jensen.",1917
uc1.a0000468793,"Pontoppidan, Henrik",SpÃ¸gelser; en historie.,1888
uc1.a0000489831,"Pontoppidan, Henrik",FortÃ¦llinger / Henrik Pontoppidan. v. 1,1899
uc1.a0000546564,"Pontoppidan, Henrik",Det forjaettede land / Henrik Pontoppidan.,1898
uc1.a0000687350, Henrik,Minder / Henrik Pontoppidan.,1893
uc1.a0000727065, Bernhard Severin,"Samlede eventyr og fort¾llinger, af Bernhard Severin Ingemann ... v.5-6",1847
uc1.a0000727081,"Ingemann, Bernhard Severin","Samlede eventyr og fortÃ¦llinger, af Bernhard Severin Ingemann ... v.13",1853
uc1.a0000727099, Bernhard Severin,"Samlede romanzer, sange og eventyrdigte / af Bernhard Sev. Ingemann. v.3-4",1845
uc1.a0001181668,"Pontoppidan, Henrik",IsbjÃ¸rnen : et portrÃ¦t / Henrik Pontoppidan.,1887
uc1.b3604385,"Pontoppidan, Henrik",Favsingholm / af Henrik Pontoppidan.,1916
uc1.b3604386, Henrik,Hans Kvast og Melusine / Henrik Pontoppidan.,1907
uc1.b4156866,"Jensen, Johannes V.",Nye myter.,1908
uc1.b4605314,"BÃ¸nnelycke, Emil",Ild og Ungdom,1917
uc1.b4676898,"Andersen NexÃ¸, Martin",Ditte Menneskebarn En Barndom v1,1919
uc1.b4676899,"Andersen NexÃ¸, Martin",Ditte Menneskebarn Lillemor v2,1919
uc1.b4676902,"Andersen NexÃ¸, Martin",En moder.,1900
uc1.b4676939,"Andersen NexÃ¸, Martin",Skygger.,1898
umn.319510010460306,"Ingemann, Bernhard Severin",Digte.,1817
umn.319510010476272,"Andersen NexÃ¸, Martin",Ditte Menneskebarn Skaersilden v4,1919
umn.319510010476280,"Andersen NexÃ¸, Martin",Ditte Menneskebarn Mod Stjaernerne v5,1919
umn.319510010503366,"Andersen NexÃ¸, Martin",Dybhavsfisk.,1918
umn.31951001053414x,"Jensen, Johannes V.",Einar Elkaer; roman.,1898
umn.31951001066784f,"Jensen, Johannes V.",Foraarets dÃ¸d.,1900
umn.31951001076551w,"JÃ¸rgensen, Johannes",Graes.,1904
umn.319510011078378,"Pontoppidan, Henrik",Landsbybilleder.,1883
umn.31951001115214c,"Andersen NexÃ¸, Martin",Lotterisvensken.,1919
umn.319510011389937,"Jensen, Johannes V.",Olivia Marianne.,1915
umn.31951001185699s,"Pontoppidan, Henrik",Staekkede vinger.,1881
umn.31951001198392x, Bernhard Severin,To fortaellinger.,1846
umn.31951001203488k,"Andersen NexÃ¸, Martin",Under himmelen den blaa.,1915
umn.31951001203752t,"Andersen NexÃ¸, Martin",Undervejs.,1919
umn.31951001209590z,"Jensen, Johannes V.",Vinteren.,1901
umn.31951001253787g,"Pontoppidan, Henrik",FortÃ¦llinger / Henrik Pontoppidan. v. 2,1899
umn.31951001307007z,"Andersen NexÃ¸, Martin",Folkene paa Dangaarden; drama i tre akter.,1915
umn.319510013114360,"JÃ¸rgensen, Johannes",Klokke roland : med forfatterens portrÃ¦t / by Johannes JÃ¸rgensen.,1916
umn.319510016942405,"JÃ¸rgensen, Johannes",Flanderns lÃ¸ve.,1919
umn.31951001932479v,"JÃ¸rgensen, Johannes",Rejsebilleder fra nord og syd / Johannes JÃ¸rgensen.,1905
uva.x002264213,"Andersen, H. C.",At vÃ¦re eller ikke vÃ¦re. Roman i tre dele ,1857
uva.x030801845,"Ingemann, Bernhard Severin",Reiselyren / af B. S. Ingemann.,1820
uva.x030801847,"Ingemann, Bernhard Severin",Procne : en samling af digte / af B. S. Ingemann.,1813
uva.x030801848,"Ingemann, Bernhard Severin",LÃ˜veridderen : tragoedie / af B.S. Ingemann.,1816
uva.x030801851,"Ingemann, Bernhard Severin","Salomons ring : dramatisk eventyr, med et lyrisk forspil / af B.S. Ingemann.",1839
wu.89008547036,"Ingemann, Bernhard Severin","Bernhard Severin Ingemanns Levnetsbog, skreven af ham selv / udgiven af J. GalskjÃ¸t.",1862
wu.89008547051,"Ingemann, Bernhard Severin",LandsbybÃ¸rnene : nytids-roman / af Bernhard Severin Ingemann. v.1-4,1860
wu.89008624116,"JÃ¸rgensen, Johannes",Den yndigste rose.,1907
wu.89008624173,"JÃ¸rgensen, Johannes",Lignelser.,1898
wu.89008624181,"JÃ¸rgensen, Johannes",Af det dybe.,1909
wu.89008624207,"JÃ¸rgensen, Johannes","Fortaellinger: Den yderste Dag, Graes.",1912
wu.89008624231,"JÃ¸rgensen, Johannes",Bag alle de blaa bjaerge.,1913
wu.89008624876,"Jensen, Johannes V.",Eksotiske noveller / Johannes Jensen.,1909
wu.89008625014,"Jensen, Johannes V.",Himmerlands historier. 3,1906
wu.89008625022,"Jensen, Johannes V.",Himmerlands historier. 1-2,1906
wu.89008821845,"BÃ¸nnelycke, Emil",Taarer; Digte.,1918
wu.89008821878,"BÃ¸nnelycke, Emil",Guldaeblerne; digte.,1921
wu.89008821886,"BÃ¸nnelycke, Emil",Gadens legende; digte.,1920
wu.89008821894,"BÃ¸nnelycke, Emil",Festerne.,1918
wu.89008821902,"BÃ¸nnelycke, Emil",Buer og staal : digte,1919
wu.89008924250,"Andersen, H. C.",Lykke-Peer,1870
wu.89010299436,"Jensen, Johannes V.",Digte.,1907
wu.89038375044,"Andersen, H. C.",Improvisatoren,1835
wu.89040490369,"Jensen, Johannes V.",Hjulet.,1905
wu.89041135864,"Pontoppidan, Henrik",Fra hytterne. Nye Landsbybilleder.,1887
wu.89044754174,"Jensen, Johannes V.",Madame D'Ora.,1904
wu.89046693669,"JÃ¸rgensen, Johannes","Der er en brÃ¸nd, som rinder / Johannes JÃ¸rgensen.",1920
