filename,publication date
aakjaer01val.xml,1905
aakjaer02val.xml,1917
aakjaer06val.xml,1900
aare01val.xml,1823
aare02val.xml,1833
aare03val.xml,1837
aare04val.xml,1841
aarestrup07val.xml,1824
andersen01val.xml,1831
andersen02val.xml,1848
andersen03val.xml,1835
andersen04val.xml,1836
andersen05val.xml,1837
andersen06val.xml,1828
andersen07val.xml,1857
andersenhc08val.xml,1825
andersenhc_09.xml,1863
andersenhc_10.xml,1849
arrebo01val.xml,1635
bagger01val.xml,1835
baggesen01val.xml,1790
baggesen02val.xml,1784
baggesen06.xml,1792
bang01val.xml,1883
bang02val.xml,1880
bang03val.xml,1880
bang04val.xml,1889
bang05val.xml,1904
bang06val.xml,1887
bang07val.xml,1887
bang08val.xml,1889
bang09val.xml,1896
bang11val.xml,1883
bergsoe02.xml,1876
bergsoev01ny.xml,1866
bergsoev02.xml,1866
biehl01.xml,1787
blic03val.xml,1835
blich04.xml,1827
blich05.xml,1829
blich06.xml,1832
blich07.xml,1825
boedtcher01.xml,1817
bording01val.xml,1703
brandes04.xml,1872
brandes05.xml,1873
brandes06.xml,1882
brandesed_03.xml,1880
brandesed_04.xml,1889
brandesed_05.xml,1898
brandesed_06.xml,1899
brandesed_07.xml,1881
brandesed_08.xml,1882
brandesed_09.xml,1882
brandesed_10.xml,1884
brandesed_11.xml,1885
brandesed_12.xml,1887
brandesed_13.xml,1888
brandesed_14.xml,1891
brandesed_15.xml,1902
brorson01.xml,1739
brorson02val.xml,1739
brorson03grval.xml,1741
bruunval.xml,1796
chievitz01.xml,1847
claussen01.xml,1896
claussen02.xml,1894
claussen03val.xml,1882
claussen04val.xml,1892
claussen05val.xml,1903
claussen06val.xml,1912
claussen07val.xml,1913
claussen08val.xml,1892
claussen09val.xml,1917
claussen10val.xml,1905
claussen11val.xml,1886
claussen12val.xml,1905
coo_31924026291892.xml,1909
coo_31924026293146.xml,1903
coo_31924026294128.xml,1898
coo_31924026296537.xml,1904
coo_31924026296586.xml,1900
coo_31924026296594.xml,1918
coo_31924026296610.xml,1908
coo_31924026296685.xml,1890
coo_31924026296735.xml,1907
coo_31924028464794.xml,1920
coo_31924029418765.xml,1920
coo_31924087677922.xml,1905
dalgasdomval.xml,1896
dalgaslideval.xml,1903
drachmann01.xml,1870
drachmann13val.xml,1876
drachmann14val.xml,1886
ewald01dkval.xml,1771
ewald02dkval.xml,1773
ewald03val.xml,1762
ewald04val.xml,1770
ewald05val.xml,1774
ewald06val.xml,1771
falster01.xml,1720
falster02.xml,1730
falster03.xml,1731
falster04.xml,1742
falster05.xml,1720
fibiger01.xml,1851
fibiger02val.xml,1851
gjellerup01.xml,1889
gjellerup02.xml,1883
gjellerup03.xml,1896
goldschmidt01.xml,1864
goldschmidt02t.xml,1852
goldschmidt03.xml,1852
goldschmidt04.xml,1847
grundtvig01val.xml,1802
grundtvig02val.xml,1810
grundtvig03val.xml,1814
grundtvig04val.xml,1815
grundtvig05val.xml,1824
grundtvig06val.xml,1833
grundtvig07val.xml,1869
grundtvig08val.xml,1838
grundtvig09val.xml,1844
grundtvig10val.xml,1851
grundtvig11val.xml,1824
grundtvig12val.xml,1839
gyllem13.xml,1823
gyllem14val.xml,1833
gyllem15.xml,1835
hauch01val.xml,1832
hauch02val.xml,1842
hauch03val.xml,1849
hcaeventyr01val.xml,1837
hcaeventyr02val.xml,1844
hcaeventyr03val.xml,1858
hcaeventyr04val.xml,1861
hcaeventyr05val.xml,1867
hcaeventyr06val.xml,1820
hcaeventyr07val.xml,1833
hcaisverrigval.xml,1849
heiberg_bind01.xml,1825
heiberg_bind02val.xml,1825
heiberg_bind03.xml,1841
heibergjl04val.xml,1816
heibergjl05val.xml,1839
heibergpa01val.xml,1790
heibfr01.xml,1892
heibfr02.xml,1892
heibfr03.xml,1892
heibfr04.xml,1892
heibfr05val.xml,1812
heibfr06val.xml,1842
heibfr07val.xml,1856
heibfr08val.xml,1700
helg06val2.xml,1533
helgesen01.xml,1533
helgesen02.xml,1533
helgesen03.xml,1533
helgesen05.xml,1533
hertz03val.xml,1837
hertz04val.xml,1845
hertz09_lev.xml,1830
hertz10_lev.xml,1832
hertz11_lev.xml,1851
hjort_01.xml,1899
hjort_02.xml,1902
hjort_03.xml,1903
hjort_04.xml,1904
hjort_05.xml,1905
hjort_06.xml,1906
hjort_07.xml,1911
hjort_08.xml,1914
hjort_09.xml,1919
hjort_10.xml,1920
hjort_11.xml,1921
hjort_12.xml,1922
hjort_13.xml,1923
hjort_14.xml,1924
hjort_15.xml,1928
hjort_16.xml,1899
hjort_17.xml,1899
hjort_18.xml,1905
holb03val.xml,1712
holb04val.xml,1722
holb05val.xml,1703
holb06val.xml,1714
holb07val.xml,1722
holb11val.xml,1717
holberg01val.xml,1702
holberg09.xml,1710
holberg10.xml,1720
holberg12.xml,1714
holberg13val.xml,1744
holberg14val.xml,1731
hostrup01.xml,1852
hvd_32044105514640.xml,1907
hvd_hnnav2.xml,1890
hvd_hnnavl.xml,1897
hvd_hnnavn.xml,1896
hvd_hnnavv.xml,1906
hvd_hnnavx.xml,1905
hvd_hnnaw5.xml,1902
hvd_hnnawa.xml,1883
hvd_hnnawf.xml,1899
hvd_hnnawt.xml,1900
hvd_hnnd4e.xml,1835
hvd_hnnd98.xml,1862
hvd_hnt3pe.xml,1908
hvd_hwqs6r.xml,1842
hvd_hwqs7t.xml,1853
hvd_hwqs7u.xml,1853
hvd_hwqs7v.xml,1853
hvd_hwqt8b.xml,1905
hvd_hwqt8d.xml,1894
hvd_hwqtmv.xml,1894
hvd_hwqtmx.xml,1898
hvd_hwqtq2.xml,1904
hvd_hwqtq9.xml,1892
hvd_hwqtqx.xml,1893
hvd_hwrdnv.xml,1905
hvd_hx5wiz.xml,1860
ingemann01.xml,1848
ingemann02.xml,1820
ingemann03val.xml,1822
inu_30000120644517.xml,1826
jacob01val.xml,1870
jacob02val.xml,1874
jacob03val.xml,1879
jacob04val.xml,1873
jacobjf_01.xml,1939
jacobjf_02.xml,1925
jacobjp06val.xml,1880
jacobjp07val.xml,1876
jacobjp08val.xml,1867
juelh01val.xml,1888
juelh02val.xml,1885
kaalund01.xml,1838
kaalund02val.xml,1875
kidde01val.xml,1902
kidde02val.xml,1897
kidde03.xml,1912
kidde04ny.xml,1918
kidde05val.xml,1915
kierkegaard01val.xml,1844
kierkegaard02val.xml,1843
kierkegaard03val.xml,1834
kingo01val.xml,1700
kingo02val.xml,1700
kingo03val.xml,1700
kingo04val.xml,1700
kingo09val.xml,1700
knudsenj01val.xml,1902
knudsenj02val.xml,1903
knudsenj09val.xml,1914
Lars.xml,1893
larsenk_02.xml,1889
larsenk_03.xml,1893
larsenk_04.xml,1896
larsenk_05.xml,1900
larsenk_06.xml,1901
larsenk_07.xml,1902
larsenk_08.xml,1911
larsenk_09.xml,1908
larsenk_10.xml,1922
