Filename,HTID,Author,Title,Year,Region,Rights,OCLC
aeu_ark+=13960=t1fj3g33b.json,aeu.ark:/13960/t1fj3g33b,Alcott Louisa May,Rose In Bloom A Sequel To Eight Cousins,1876,newengland,1,867968910
aeu_ark+=13960=t32246w31.json,aeu.ark:/13960/t32246w31,Macgrath Harold,The Lure Of The Mask,1908,northeast,9,861577512
aeu_ark+=13960=t4gm9064g.json,aeu.ark:/13960/t4gm9064g,Twain Mark,The American Claimant,1892,midwest,1,697637469
aeu_ark+=13960=t55f0435m.json,aeu.ark:/13960/t55f0435m,Glasgow Ellen,The Deliverance A Romance Of The Virginia Tobacco Fields,1904,south,9,861575704
aeu_ark+=13960=t5gb3f25s.json,aeu.ark:/13960/t5gb3f25s,Baum L. Frank,Dorothy And The Wizard In Oz,1908,northeast,9,861676630
aeu_ark+=13960=t65440k7w.json,aeu.ark:/13960/t65440k7w,Dixon Thomas,The Root Of Evil A Novel,1911,south,9,861575998
aeu_ark+=13960=t67382c6b.json,aeu.ark:/13960/t67382c6b,Churchill Winston,A Modern Chronicle,1910,newengland,9,858849593
aeu_ark+=13960=t6834f51k.json,aeu.ark:/13960/t6834f51k,Alcott Louisa May,Eight Cousins Or The Aunt-Hill,1875,newengland,1,719236591
aeu_ark+=13960=t6pz6j73s.json,aeu.ark:/13960/t6pz6j73s,Baum L. Frank,Sky Island Being The Further Exciting Adventures Of Trot And Cap'N Bill After Their Visit To The Sea Fairies,1912,northeast,9,861676631
aeu_ark+=13960=t7jq28j81.json,aeu.ark:/13960/t7jq28j81,Fox John,The Trail Of The Lonesome Pine,1908,south,9,861576999
aeu_ark+=13960=t9766t49v.json,aeu.ark:/13960/t9766t49v,Gale Zona,Miss Lulu Bett,1920,midwest,9,861674982
chi_088023985.json,chi.088023985,Brown Alice,Country Neighbors,1910,newengland,1,30520491
chi_15765549.json,chi.15765549,Jewett Sarah Orne,A Country Doctor,1884,newengland,1,2788293
chi_24080300.json,chi.24080300,Arthur T. S.,Ten Nights In A Bar-Room And What I Saw There,1854,northeast,1,1329437
chi_42116029.json,chi.42116029,Howells William Dean,A Hazard Of New Fortunes,1889,midwest,1,274467
coo_31924021764760.json,coo.31924021764760,London Jack,The Valley Of The Moon,1914,west,9,34509343
coo_31924021965268.json,coo.31924021965268,Habberton John,Helen'S Babies And Other People'S Children; A Sequel To Helen'S Babies,1877,northeast,1,14996702
coo_31924022009652.json,coo.31924022009652,Allen James Lane,A Kentucky Cardinal; A Story,1894,south,1,5701567
coo_31924022085876.json,coo.31924022085876,Churchill Winston,The Celebrity: An Episode,1897,newengland,1,7917913
coo_31924022208254.json,coo.31924022208254,Ward Elizabeth Stuart Phelps,A Singular Life,1897,newengland,1,7519654
