Filename,HTID,Author,Title,Year
uiug_30112037882914.json,uiug.30112037882914,Voltaire,Candide Ou L'Optimisme,1759
uc1_31175035491706.json,uc1.31175035491706,Voltaire,"Zadig, Ou, La Destinée: Histoire Orientale.",1747
hvd_hnw767.json,hvd.hnw767,Voltaire,Mérope,1732
hvd_hwt574.json,hvd.hwt574,Voltaire,La Henriade; Poëme,1723
aeu_ark+=13960=t0ks7w07s.json,aeu.ark:/13960/t0ks7w07s,Voltaire,Le Huron Ou L'Ingénu,1767
hvd_hwbff6.json,hvd.hwbff6,Montesquieu,Lettres Persanes,1761
uc1_31175014905148.json,uc1.31175014905148,Montesquieu,Le Temple De Gnide,1725
hvd_32044004495354.json,hvd.32044004495354,Jean Jacques Rousseau,Emile Ou De L'Education,1762
hvd_hn1v9g.json,hvd.hn1v9g,Jean Jacques Rousseau,Julie Ou La Nouvelle Héloïse,1761
nnc1_0111740736.json,nnc1.0111740736,Jean Jacques Rousseau,Le Lévite D'Éphraïm,1762
uva_x002194084.json,uva.x002194084,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.1,1780
uva_x002194092.json,uva.x002194092,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.6,1780
uva_x002194086.json,uva.x002194086,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.2,1780
uva_x002194088.json,uva.x002194088,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.4,1780
uva_x001980657.json,uva.x001980657,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.3,1780
uva_x002194090.json,uva.x002194090,Pierre-Augustin Caron De Beaumarchais,Oeuvres Complètes De Beaumarchais V.5,1780
ucm_5325892988.json,ucm.5325892988,Antoine François Prévost,Histoire De Manon Lescaut Et Du Chevalier Desgrieux,1731
nnc1_0037111914.json,nnc1.0037111914,Antoine François Prévost,Le Doyen De Killerine; Histoire Morale Composée Sur Les Mémoires D'Une Illustre Famille D'Irlande V.2,1735
nnc1_0037111922.json,nnc1.0037111922,Antoine François Prévost,Le Doyen De Killerine; Histoire Morale Composée ... V.3,1735
nnc1_0037111906.json,nnc1.0037111906,Antoine François Prévost,Le Doyen De Killerine; Histoire Morale Composée ... V.1,1735
nnc1_0037111930.json,nnc1.0037111930,Antoine François Prévost,Le Doyen De Killerine; Histoire Morale Composée ... V.4,1735
hvd_hntblb.json,hvd.hntblb,Jacques-Henri Bernardin De Saint-Pierre,"Ouvres Choisies, Contentant Paul Et Virginie, La Chaumière Indienne, Le Café De Surate, Voyage En Silésie, Ë L'Île De France, L'Arcadie, De La Nature De La Morale, Vœux D'Un Solitaire.",1795
hvd_hn3a3d.json,hvd.hn3a3d,Denis Diderot,Paradoxe Sur Le Comédien,1820
hvd_32044020088407.json,hvd.32044020088407,Denis Diderot,Le Neveu De Rameau,1805
mdp_39015026449291.json,mdp.39015026449291,Denis Diderot,"Entretien Entre D'Alembert Et Diderot; Rève De D'Alembert: Suite De L'Entretien; Introduction Et Notes De Gilbert Maire, Avec Un Portrait Gravé Sur Bois Par Achille Ouvré.",1770
mdp_39015024215652.json,mdp.39015024215652,Alain-René Lesage,Oeuvres De Le Sage. V.2,1720
mdp_39015066667372.json,mdp.39015066667372,Alain-René Lesage,Oeuvres De Le Sage. V.9,1720
mdp_39015011871426.json,mdp.39015011871426,Alain-René Lesage,Oeuvres De Le Sage. V.1,1720
mdp_39015066667398.json,mdp.39015066667398,Alain-René Lesage,Oeuvres De Le Sage. V.7,1720
mdp_39015066667364.json,mdp.39015066667364,Alain-René Lesage,Oeuvres De Le Sage. V.10,1720
mdp_39015048401494.json,mdp.39015048401494,Alain-René Lesage,Oeuvres De Le Sage. V.3,1720
mdp_39015066667356.json,mdp.39015066667356,Alain-René Lesage,Oeuvres De Le Sage. V.11,1720
mdp_39015066667273.json,mdp.39015066667273,Alain-René Lesage,Oeuvres De Le Sage. V.6,1720
mdp_39015066667380.json,mdp.39015066667380,Alain-René Lesage,Oeuvres De Le Sage. V.8,1720
mdp_39015057161302.json,mdp.39015057161302,Alain-René Lesage,Oeuvres De Le Sage. V.5,1720
mdp_39015066581185.json,mdp.39015066581185,Alain-René Lesage,Oeuvres De Le Sage. V.4,1720
mdp_39015076524480.json,mdp.39015076524480,Alain-René Lesage,Oeuvres De Le Sage. V.12,1720
ien_35556027364405.json,ien.35556027364405,Jean-Baptiste Louvet De Couvray,Les Amours Du Chevalier De Faublas,1790
ien_35556027364421.json,ien.35556027364421,Jean-Baptiste Louvet De Couvray,Les Amours Du Chevalier De Faublas,1790
ien_35556027364413.json,ien.35556027364413,Jean-Baptiste Louvet De Couvray,Les Amours Du Chevalier De Faublas,1790
ien_35556027364439.json,ien.35556027364439,Jean-Baptiste Louvet De Couvray,Les Amours Du Chevalier De Faublas,1790
nyp_33433013582980.json,nyp.33433013582980,Jean-Baptiste Louvet De Couvray,Vie Du Chevalier De Faublas,1787
nyp_33433013582964.json,nyp.33433013582964,Jean-Baptiste Louvet De Couvray,Vie Du Chevalier De Faublas,1787
nyp_33433013582972.json,nyp.33433013582972,Jean-Baptiste Louvet De Couvray,Vie Du Chevalier De Faublas,1787
nyp_33433013582956.json,nyp.33433013582956,Jean-Baptiste Louvet De Couvray,Vie Du Chevalier De Faublas,1787
hvd_hwbhti.json,hvd.hwbhti,Jean-Baptiste Louvet De Couvray,Vie Du Chevalier De Faublas,1787
ien_35556007865389.json,ien.35556007865389,Jean-Baptiste Louvet De Couvray,Une Année De La Vie Du Chevalier De Faublas ... V.1-3,1788
mdp_39015011240325.json,mdp.39015011240325,Jean-Baptiste Louvet De Couvray,"Les Aventures Du Chevalier De Faublas, V.1.",1789
mdp_39015011240341.json,mdp.39015011240341,Jean-Baptiste Louvet De Couvray,"Les Aventures Du Chevalier De Faublas, V.4.",1789
hvd_hn5b5m.json,hvd.hn5b5m,Jean-Baptiste Louvet De Couvray,"Les Aventures Du Chevalier De Faublas, Tome 3.",1789
hvd_hn5b5n.json,hvd.hn5b5n,Jean-Baptiste Louvet De Couvray,"Les Aventures Du Chevalier De Faublas, V.2.",1789
nyp_33433001022189.json,nyp.33433001022189,Jean-Baptiste Louvet De Couvray,Vie Et Fin Des Amours Du Chevalier De Faublas,1790
nyp_33433075868780.json,nyp.33433075868780,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.4,1740
nyp_33433075868764.json,nyp.33433075868764,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.2,1740
nyp_33433075868830.json,nyp.33433075868830,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.10,1740
nyp_33433075868806.json,nyp.33433075868806,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.7,1740
nyp_33433075868848.json,nyp.33433075868848,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.11,1740
nyp_33433075868772.json,nyp.33433075868772,Pierre De Marivaux,Ouvres Complettes De M. De Marivaux ... V.3,1740
