Filename,HTID,Author,Title,Year
osu_32435030175145.json,osu.32435030175145,Sophie Von La Roche,Pomona Für Teutschlands Töchte,1783
hvd_hwty6k.json,hvd.hwty6k,Sophie Von La Roche,Geschichte Von Miss Lony Und Der Schöne Bund,1789
uiug_30112069447040.json,uiug.30112069447040,Sophie Von La Roche,Neuere Moralische Erzehlungen,1786
uc1_b4082897.json,uc1.b4082897,Jakob Michael Reinhold Lenz,Pandaemonium Germanicum,1775
uc1_$b611535.json,uc1.$b611535,Jakob Michael Reinhold Lenz,Die Sizilianische Vesper,1782
mdp_39015064444816.json,mdp.39015064444816,Friedrich Maximilian Von Klinger,"Fausts Leben, Thaten Und Hollenfahrt",1791
hvd_hwspzn.json,hvd.hwspzn,Friedrich Maximilian Von Klinger,Die Geschichte Vom Golden Hahn,1785
mdp_39015027229718.json,mdp.39015027229718,Friedrich Maximilian Von Klinger,Otto,1775
ucm_5326433718.json,ucm.5326433718,Friedrich Maximilian Von Klinger,Sahir Eva'S Erstgeborner Im Paradiese,1798
njp_32101066919695.json,njp.32101066919695,Friedrich Maximilian Von Klinger,Geschichte Eines Teutschen Der Neusten Zeit,1798
njp_32101066906403.json,njp.32101066906403,Friedrich Maximilian Von Klinger,Reisen Von Dem Sündfluth,1795
inu_30000118550643.json,inu.30000118550643,Friedrich Maximilian Von Klinger,Geschichte Raphael De Aquillas,1793
ucw_ark+=13960=t06x05q1x.json,ucw.ark:/13960/t06x05q1x,Friedrich Maximilian Von Klinger,Die Falschen Spieler,1782
uc1_$b154328.json,uc1.$b154328,Friedrich Maximilian Von Klinger,"Plimplamplasko, Der Hohe Geist, Heut Genie",1780
uc1_$b615105.json,uc1.$b615105,Friedrich Maximilian Von Klinger,Dad Leidende Weib,1775
mdp_39015014653235.json,mdp.39015014653235,Christoph Martin Wieland,Idris,1768
hvd_hny9v7.json,hvd.hny9v7,Christoph Martin Wieland,Geschichte Des Prinzen Biribinker,1789
mdp_39015030189503.json,mdp.39015030189503,Johann Wolfgang Von Goethe,Egmont,1788
njp_32101062724354.json,njp.32101062724354,Johann Wolfgang Von Goethe,Römische Elegien,1788
mdp_39015050658585.json,mdp.39015050658585,Johann Wolfgang Von Goethe,West-Östlicher Divan,1827
coo_31924024691135.json,coo.31924024691135,Johann Wolfgang Von Goethe,Hermann Und Dorothea,1798
hvd_hn53dr.json,hvd.hn53dr,Johann Wolfgang Von Goethe,Götz Von Berlichingen Mit Der Eisernen Hand,1773
uc1_a0000774265.json,uc1.a0000774265,Johann Wolfgang Von Goethe,Wilhelm Meisters Wanderjahre,1807
hvd_hwsmpi.json,hvd.hwsmpi,Johann Wolfgang Von Goethe,Clavigo,1774
hvd_hwsniq.json,hvd.hwsniq,Friedrich Schiller,Die Jungfrau Von Orleans,1801
uva_x000397340.json,uva.x000397340,Friedrich Schiller,Das Lied Von Der Glocke,1799
hvd_hw2q71.json,hvd.hw2q71,Friedrich Schiller,Der Geisterseher,1787
mdp_39015064440210.json,mdp.39015064440210,Friedrich Schiller,Wilhelm Tell,1803
hvd_hn27l7.json,hvd.hn27l7,Friedrich Schiller,Maria Stuart,1800
nyp_33433075729198.json,nyp.33433075729198,Friedrich Schiller,Demetrius (Unfinished),1805
hvd_hwsnhi.json,hvd.hwsnhi,Friedrich Schiller,Wallenstein,1799
nyp_33433075737076.json,nyp.33433075737076,E. T. A. Hoffman,Die Serapions-Brüder,1819
wu_89099206831.json,wu.89099206831,E. T. A. Hoffman,Die Irrungen; Die Geheimnisse,1820
wu_89078666641.json,wu.89078666641,E. T. A. Hoffman,Lebensansichten Des Katers Murr,1819
mdp_39015009017040.json,mdp.39015009017040,E. T. A. Hoffman,Fantasiestücke In Callots Manier,1814
uc1_b4706711.json,uc1.b4706711,E. T. A. Hoffman,Klein Zaches,1819
njp_32101066900992.json,njp.32101066900992,E. T. A. Hoffman,Prinzessin Brambilla,1820
wu_89040536732.json,wu.89040536732,Heinrich Von Kleist,Michael Kohlhaas,1808
uc1_$b610905.json,uc1.$b610905,Joseph Von Eichendorff,Die Glücksritter,1841
uc1_$b146506.json,uc1.$b146506,Joseph Von Eichendorff,Der Letzte Held Von Marienburg,1830
njp_32101068130275.json,njp.32101068130275,Annette Von Droste-Hülshoff,Die Judenbuche,1842
mdp_39015026439292.json,mdp.39015026439292,Adelbert Von Chamisso,Peter Schlemihl'S Wundersame Geschichte,1814
hvd_hnxvdp.json,hvd.hnxvdp,Eduard Mörike,"Idylle Vom Bodensee, Oder, Fischer Martin Und Die Glockendiebe",1846
pst_000006825225.json,pst.000006825225,Eduard Mörike,Das Stuttgarter Hutzelmönnlein,1853
nyp_33433075734107.json,nyp.33433075734107,Christian Felix Weiße,Trauerspiele,1778
njp_32101067567238.json,njp.32101067567238,Christian Felix Weiße,"Komische Opern: Die Verwandelten Weiber, Der Lustige Schuster, Der Dorfdalbier",1778
uc1_b4337639.json,uc1.b4337639,Christian Felix Weiße,Die Jagd,1770
hvd_hny9p2.json,hvd.hny9p2,Heinrich Laube,Die Karlsschüler,1847
wu_89099042855.json,wu.89099042855,Heinrich Laube,Graf Essex,1856
hvd_32044100912161.json,hvd.32044100912161,Heinrich Laube,Gröfin Chateaubriant,1843
wu_89100213826.json,wu.89100213826,Heinrich Laube,Die Kleine Prinzessin,1884
uc1_31175034924228.json,uc1.31175034924228,Heinrich Laube,Der Schatten Wilhelm. Eine Geschichtliche Erzöhlung,1883
njp_32101066910231.json,njp.32101066910231,Heinrich Laube,Ruben. Ein Moderner Roman,1885
njp_32101066908938.json,njp.32101066908938,Heinrich Laube,Jagdbrevier,1841
inu_30000011309501.json,inu.30000011309501,Heinrich Laube,Louison,1858
hvd_hwrcvv.json,hvd.hwrcvv,Heinrich Laube,Herzog Bernhard: Historischer Roman,1866
