Filename,HTID,Author,Title,Year,URL
BrennerSE_PoetiskeDikter2.json,,Brenner Sophia Elisabeth,Poetiske Dikter,1709,
Sagan om hästen.json,,Dalin Olof Von,Sagan Om Hästen,1740,
hvd_hntee7.json,hvd.hntee7,Creutz Gustaf Filip,Vitterhets-Arbeten,1762,
NordenflychtHC_Skrifter.json,,Nordenflycht Hedvig Charlotta,Skrifter,1762,
DulciU_VitterhetsNojen1.json,,Utile Dulci,Vitterhets-Nöjen. Första Delen,1769,
DulciU_VitterhetsNojen2.json,,Utile Dulci,Vitterhets-Nöjen. Andra Delen,1770,
DulciU_VitterhetsNojen3.json,,Utile Dulci,Vitterhets-Nöjen. Tredie Delen,1772,
hvd_hn3eut.json,hvd.hn3eut,Bergklint Olof,Vittra Arbeten,1780,
uc1_a0012671178.json,uc1.a0012671178,Lidner Bengt,Valda Skrifter,1783,
nyp_33433075866453.json,nyp.33433075866453,Kellgren Johan Henric,Samlade Skrifter,1786,
uc1_$b482611.json,uc1.$b482611,Thorild Thomas,Valda Skrifter,1787,
uc1_b4783535.json,uc1.b4783535,Bellman Carl Michael,Fredmans Epistlar,1790,
uc1_a0000222562.json,uc1.a0000222562,Kellgren Johan Henric,Samlade Skrifter,1790,
nyp_33433067385926.json,nyp.33433067385926,Leopold Carl Gustaf Af,Samlade Skrifter,1790,
nyp_33433075884274.json,nyp.33433075884274,Bellman Carl Michael,Fredmans Sånger,1791,
nyp_33433067385918.json,nyp.33433067385918,Leopold Carl Gustaf Af,Samlade Skrifter,1793,
nyp_33433067385900.json,nyp.33433067385900,Leopold Carl Gustaf Af,Samlade Skrifter,1794,
ien_35556007645617.json,ien.35556007645617,Gyllenborg Gustaf Fredrik,Sednare Vitterhets-Arbeten,1795,
nyp_33433075866438.json,nyp.33433075866438,Lenngren Anna Maria,Samlade Skaldeförsök,1795,
chi_096331740.json,chi.096331740,Oxenstierna Johan Gabriel,Arbeten Af Johan Gabriel Oxenstjerna V.2,1796,
Gumman.json,,Widström Ulrica Carolina,Gumman,1799,
