"region","htitem_id","title","author","date","rights","OCLC"
"newengland","aeu.ark:/13960/t1fj3g33b","Rose in bloom a sequel to Eight cousins / by Louisa M. Alcott ","Alcott Louisa May 1832-1888.","1876-00-00","1","867968910"
"northeast","aeu.ark:/13960/t32246w31","The lure of the mask by Harold MacGrath ; with illustrations by Harrison Fisher and Karl Anderson ","MacGrath Harold 1871-1932.","1908-00-00","9","861577512"
"midwest","aeu.ark:/13960/t4gm9064g","The American claimant by Mark Twain (Samuel L. Clemens) ; with eighty-one illustrations by Dan Beard and Hal Hurst ","Twain Mark 1835-1910.","1892-00-00","1","697637469"
"south","aeu.ark:/13960/t55f0435m","The deliverance a romance of the Virginia tobacco fields / by Ellen Glasgow ; with illustrations by Frank E. Schoonover ","Glasgow Ellen 1874-1945.","1904-00-00","9","861575704"
"northeast","aeu.ark:/13960/t5gb3f25s","Dorothy and the Wizard in Oz by L. Frank Baum ; illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1908-00-00","9","861676630"
"south","aeu.ark:/13960/t65440k7w","The root of evil a novel / by Thomas Dixon ; illustrated by W. Sherman Potts ","Dixon Thomas 1864-1946.","1911-00-00","9","861575998"
"newengland","aeu.ark:/13960/t67382c6b","A modern chronicle by Winston Churchill ; illustrated by J.H. Gardner Soper ","Churchill Winston 1871-1947.","1910-00-00","9","858849593"
"newengland","aeu.ark:/13960/t6834f51k","Eight cousins or The aunt-hill by Louisa M. Alcott ","Alcott Louisa May 1832-1888","1875-00-00","1","719236591"
"northeast","aeu.ark:/13960/t6pz6j73s","Sky Island being the further exciting adventures of Trot and Cap'n Bill after their visit to the sea fairies / by L. Frank Baum ; illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1912-00-00","9","861676631"
"south","aeu.ark:/13960/t7jq28j81","The trail of the lonesome pine by John Fox Jr. ; illustrated by F.C. Yohn ","Fox John 1863-1919.","1908-00-00","9","861576999"
"midwest","aeu.ark:/13960/t9766t49v","Miss Lulu Bett by Zona Gale ","Gale Zona 1874-1938.","1920-00-00","9","861674982"
"newengland","chi.088023985","Country neighbors by Alice Brown ","Brown Alice 1857-1948","1910-00-00","1","30520491"
"newengland","chi.15765549","A country doctor / by Sarah Orne Jewett ","Jewett Sarah Orne 1849-1909","1884-00-00","1","2788293"
"northeast","chi.24080300","Ten nights in a bar-room and what I saw there by T. S. Arthur ","Arthur T. S. 1809-1885.","1854-00-00","1","1329437"
"midwest","chi.42116029","A hazard of new fortunes / by William D. Howells ; in two volumes v.1","Howells William Dean 1837-1920","1889-00-00","1","274467"
"west","coo.31924021764760","The valley of the moon by Jack London v.2","London Jack 1876-1916.","1914-00-00","9","34509343"
"northeast","coo.31924021965268","Helen's babies and Other people's children; a sequel to Helen's babies. By John Habberton ","Habberton John 1842-1921.","1877-00-00","1","14996702"
"south","coo.31924022009652","A Kentucky cardinal; a story by James Lane Allen illustrated ","Allen James Lane 1849-1925.","1894-00-00","1","5701567"
"newengland","coo.31924022085876","The celebrity : an episode / by Winston Churchill ","Churchill Winston 1871-1947.","1897-00-00","1","7917913"
"newengland","coo.31924022208254","A singular life by Elizabeth Stuart Phelps ","Ward Elizabeth Stuart Phelps 1844-1911.","1897-00-00","1","7519654"
"midwest","coo.31924022236800","Windy McPherson's son by Sherwood Anderson ","Anderson Sherwood 1876-1941.","1916-00-00","1","635768"
"south","coo.31924022357770","The leopard's spots; a romance of the white man's burden 1865-1900 by Thomas Dixon Jr. v.2","Dixon Thomas 1864-1946.","1903-00-00","9","25481509"
"newengland","coo.31924085775041","Northwest passage by Kenneth Roberts ","Roberts Kenneth Lewis 1885-1957.","1937-00-00","2","1834475"
"midwest","coo1.ark:/13960/t03x8ts47","The gilded age : a tale of to-day / by Mark Twain (Samuel L. Clemens) and Charles Dudley Warner ; fully illustrated from new designs by Hoppin Stephens Williams White etc. etc ","Twain Mark 1835-1910.","1873-00-00","1","19373517"
"newengland","coo1.ark:/13960/t12n5ph04","The last American : a fragment from the journal of Khan-Li [pseud.] prince of Dimph-yoo-chur and admiral in the Persian navy / edited by J. A. Mitchell ","Mitchell John Ames 1845-1918.","1889-00-00","1","16707312"
"west","coo1.ark:/13960/t1pg27t4f","Jerry of the islands / by Jack London ... ","London Jack 1876-1916.","1917-00-00","1","775437"
"northeast","coo1.ark:/13960/t2891rt24","A strange discovery. ","Dake Charles Romyn.","1899-00-00","1","545542"
"northeast","coo1.ark:/13960/t2m622n9f","Sidney by Margaret Deland ... ","Deland Margaret Wade Campbell 1857-1945.","1890-00-00","1","1001764"
"midwest","coo1.ark:/13960/t2m622r0f","Main-travelled roads / by Hamlin Garland ","Garland Hamlin 1860-1940.","1899-00-00","1","4318426"
"northeast","coo1.ark:/13960/t3708mr5j","The making of a marchioness / by Frances Hodgson Burnett ","Burnett Frances Hodgson 1849-1924.","1901-00-00","1","34672035"
"west","coo1.ark:/13960/t3fx7v01f","Hearts of three by Jack London ","London Jack 1876-1916.","1920-00-00","1","1421939"
"northeast","coo1.ark:/13960/t3qv43d4t","Further adventures of Lad / by Albert Payson Terhune ... ; with  frontispiece by Charles Livingston Bull ","Terhune Albert Payson 1872-1942.","1922-00-00","1","7443640"
"northeast","coo1.ark:/13960/t3xs68h26","Mr. Munchausen; being a true account of some of the recent adventures beyond the Styx of the late Hieronymus Carl Friedrich sometime Baron Munchausen of Bodenwerder as originally reported for the Sunday edition of the Gehenna Gazette by its special interviewer the late Mr. Ananias formerly of Jerusalem and now first transcribed from the columns of the journal by John Kendrick Bangs embellished with drawings by Peter Newell ","Bangs John Kendrick 1862-1922.","1901-00-00","1","56264803"
"west","coo1.ark:/13960/t53f59r02","The iron heel / by Jack London ","London Jack 1876-1916.","1907-00-00","1","1434026"
"midwest","coo1.ark:/13960/t56d6dc0b","Greyfriars Bobby by Eleanor Atkinson ","Atkinson Eleanor (Stackhouse) Mrs. 1863-","1912-00-00","1","1327128"
"northeast","coo1.ark:/13960/t58d0gn3j","Arthur Mervyn : or Memoirs of the year 1793. ","Brown Charles Brockden 1771-1810.","1890-00-00","1","5632372"
"midwest","coo1.ark:/13960/t60584382","The landlord at Lion's Head; a novel. Illustrated by W. T. Smedley ","Howells William Dean 1837-1920.","1897-00-00","1","11487377"
"west","coo1.ark:/13960/t7br9bs9m","Adventure by Jack London ","London Jack 1876-1916.","1911-00-00","1","1159748"
"midwest","coo1.ark:/13960/t7qn6pm7s","The job; an American novel by Sinclair Lewis ","Lewis Sinclair 1885-1951.","1917-00-00","1","1024225"
"midwest","coo1.ark:/13960/t8z89t35j","Extracts from Adam's diary translated from the original ms. by Mark Twain illustrated by F. Strothmann. ","Twain Mark 1835-1910.","1904-00-00","1","187966"
"northeast","coo1.ark:/13960/t8z89t361","The shuttle / by Frances Hodgson Burnett ","Burnett Frances Hodgson 1849-1924.","1907-00-00","1","2760260"
"midwest","dul1.ark:/13960/t07w7319m","Sub-coelum : a sky-built human world / by A. P. Russell ","Russell A. P. 1826-1912.","1893-00-00","1","1483860"
"midwest","dul1.ark:/13960/t0dv26z98","A traveler from Altruria romance by W.D. Howells ... ","Howells William Dean 1837-1920.","1894-00-00","1","1042446"
"midwest","dul1.ark:/13960/t2f772s6g","Unveiling a parallel : a romance / by two women of the West ","Jones Alice Ilgenfritz 1846-1905.","1893-00-00","1","4350310"
"south","dul1.ark:/13960/t3fz3mq09","Gone with the wind. ","Mitchell Margaret 1900-1949.","1936-00-00","2","290058"
"northeast","dul1.ark:/13960/t3kw6ns1s","Moby-Dick or the Whale / by Herman Melville ","Melville Herman 1819-1891.","1851-00-00","1","30847311"
"northeast","dul1.ark:/13960/t3vt2bh65","The scarlet empire / by David M. Parry ; with illustrations by Hermann C. Wall ","Parry David M. 1852-1915.","1906-00-00","1","5816279"
"south","dul1.ark:/13960/t4dn4t15g","Comrades a story of social adventure in California by Thomas Dixon jr.; illustrated by C. D. Williams ","Dixon Thomas 1864-1946.","1909-00-00","9","282786"
"midwest","dul1.ark:/13960/t4xh09588","Etidorhpa; or The end of earth. The strange history of a mysterious being and the account of a remarkable journey as communicated in manuscript to Llewellyn Drury who promised to print the same but finally evaded the responsibility which was assumed by John Uri Lloyd; with many illustrations by J. Augustus Knapp ","Lloyd John Uri 1849-1936.","1895-00-00","9","1344196"
"south","dul1.ark:/13960/t6tx9q74c","Horse Shoe Robinson: a tale of the Tory ascendency. By John P. Kennedy ","Kennedy John Pendleton 1795-1870.","1853-00-00","1","2760216"
"northeast","dul1.ark:/13960/t6ww8cj1q","Edgar Huntly; or Memoirs of a sleep-walker. By the author of Arthur Mervyn Wieland-Ormond &amp;c. ... v.1","Brown Charles Brockden 1771-1810.","1799-00-00","1","3888814"
"northeast","dul1.ark:/13960/t77s8p39t","Modern chivalry: containing the adventures of a captain and Teague O'Reagan his servant. By H. H. Brackenridge... v.1 pt.1-2","Brackenridge H. H. 1748-1816.","1804-00-00","1","7509495"
"midwest","dul1.ark:/13960/t7dr43s8z","Sister Carrie / by Theodore Dreiser ","Dreiser Theodore 1871-1945.","1900-00-00","1","3173938"
"midwest","dul1.ark:/13960/t7dr43s9f","Adventures of Huckleberry Finn : (Tom Sawyer's comrade) / by Mark Twain ; with one hundred and seventy-four illustrations ","Twain Mark 1835-1910.","1884-00-00","1","6010580"
"northeast","dul1.ark:/13960/t7kp90d15","Clara Howard; in a series of letters. By the author of Wieland Ormond ... ","Brown Charles Brockden 1771-1810.","1801-00-00","1","11639041"
"south","dul1.ark:/13960/t7sn3sd4c","The hidden hand; or Capitola the mad-cap. By Mrs. E.D.E.N. Southworth ... ","Southworth Emma Dorothy Eliza Nevitte 1819-1899.","1888-00-00","1","10334921"
"northeast","dul1.ark:/13960/t8ff42f2n","A journey in other worlds. A romance of the future by John Jacob Astor ... ","Astor John Jacob 1864-1912.","1894-00-00","1","168553"
"midwest","dul1.ark:/13960/t9863689c","Through the eye of the needle; a romance with an introduction by W. D. Howells ","Howells William Dean 1837-1920.","1907-00-00","9","733993"
"northeast","gri.ark:/13960/t9870bk2w","The custom of the country by Edith Wharton ","Wharton Edith 1862-1937.","1913-00-00","1","290788"
"midwest","hvd.32044004433538","Winesburg Ohio : a group of tales of Ohio small town life / by Sherwood Anderson ","Anderson Sherwood 1876-1941.","1919-00-00","1","607825"
"south","hvd.32044004563219","The clansman : an historical romance of the Ku Klux Klan / by Thomas Dixon Jr. ; illustrated by Arthur I. Keller ","Dixon Thomas 1864-1946.","1905-00-00","1","9463484"
"west","hvd.32044009613241","The Kempton-Wace letters. ","London Jack 1876-1916.","1903-00-00","9","6321303"
"northeast","hvd.32044009616483","The crater; or Vulcan's peak. A tale of the Pacific. By J. Fenimore Cooper ... ","Cooper James Fenimore 1789-1851.","1852-00-00","1","236073684"
"west","hvd.32044009683624","The mutiny of the Elsinore. ","London Jack 1876-1916.","1914-00-00","1","3944889"
"south","hvd.32044009793092","Sandy. ","Rice Alice Caldwell Hegan 1870-1942.","1905-00-00","1","286012"
"northeast","hvd.32044009873605","The marvelous land of Oz : being an account of the further adventures of the Scarecrow and Tim Woodman ... a sequel to the Wizard of Oz / by L. Frank Baum ... Pictured by John R. Neill the end-papers from life poses by the famous comedians Montgomery and Stone ","Baum L. Frank 1856-1919","1904-00-00","1","1336730"
"northeast","hvd.32044009873621","Dot and Tot of Merryland / by L. Frank Baum ; pictures by W.W. Denslow ","Baum L. Frank 1856-1919.","1901-00-00","1","6319018"
