htid,author,title,year
aeu.ark+=13960=t05x2zb2f,"Caird, Mona", The Wing Of Azrael,1889
aeu.ark+=13960=t3cz4793k,"Hope, Anthony", Sophy of Kravonia,1900
aeu.ark+=13960=t4fn2fp7z,"Corelli, Marie", Life Everlasting,1911
aeu.ark+=13960=t4nk51j7h,"Hope, Anthony", Tristram of Blent,1901
aeu.ark+=13960=t58d0q32s,"Glascock, William Nugent"," The Naval Sketch Book, or The Service Afloat and Ashore",1826
aeu.ark+=13960=t6641026v,"Drower, E.S. writing as ES Stevens", The Veil,1909
aeu.ark+=13960=t6vx1p54b,"Corelli, Marie", Innocent: Her Fancy and His Fact,1914
aeu.ark+=13960=t9c54x15z,"Marsh, Richard", A Spoiler of men,1910
coo.31924008209011,"Scott, Walter,",The monastery,1820
coo.31924008254728,"Scott, Walter,",Ivanhoe,1820
coo.31924012967174,"Shaw, Bernard,",John Bull's other island and Major Barbara,1904
coo.31924013216811,"Richardson, Dorothy M.",Pointed roofs,1915
coo.31924013462621,G.K. Chesterton,Flyin Inn,1914
coo.31924013477736,Thomas Hardy,Desperate Remedies,1871
coo.31924013480391,"Hawker, Mary Elizabeth (also used name Lanoe Falconer)", The H?tel d?ngleterre and other stories,1891
coo.31924013486091,"Hughes, Thomas,",Tom Brown's schooldays,1857
coo.31924013488568,Jerome K. Jerome,Diary of a Pilgrimage,1871
coo.31924013566918,"Walford, Lucy Bethia", Mr Smith: A Part of his life,1876
coo.31924013567205,Mary Augusta Ward,The History of David Grieve,1892
coo.31924013568831,HG Wells,Tono-Bungay,1909
coo.31924013574938,"Yates, Edmund", Castaway,1872
coo.31924013636521,DH Lawrence,Aaron's Rod,1918
coo.31924013659606,"Orczy, Emma", The Scarlet Pimpernel,1903
coo.31924013661768,"Pemberton, Max", The House Under the Sea,1902
coo.31924013661933,"Pemberton, Max", White Walls,1910
coo.31924022030963,Frances Hodgson Burnett,Secret Garden,1911
coo.31924051019580,Arthur Conan Doyle,The Lost World,1912
coo.31924064989720,"Yates, Edmund", A Waiting Race,1872
coo.31924065001954,"Walford, Lucy Bethia", Pauline,1877
coo.31924098822277,"Doyle, Arthur Conan,",The memoirs of Sherlock Holmes,1894
dul1.ark+=13960=t1fj34z1f,"Lytton, Edward Bulwer Lytton,",The coming race,1871
dul1.ark+=13960=t3126pp23,"Oliphant,",The perpetual curate,1864
dul1.ark+=13960=t3hx21f7z,"Newte, Horace", The Master Beast,1907
dul1.ark+=13960=t3jw91q2r,"Butler, Samuel,","Erewhon, or, Over the range",1872
dul1.ark+=13960=t4mk7258x,"Scott, Sarah"," A description of Millenium Hall, and the country adjacent",1762
dul1.ark+=13960=t4xh08t10,"Griffith, George", The Angel of the Revolution: A Tale of the Coming Terror,1897
dul1.ark+=13960=t5gb2ss8d,"Wells, H. G.",The first men in the moon,1902
dul1.ark+=13960=t5r792w66,"Gaskell, Elizabeth Cleghorn,",Wives and daughters,1866
dul1.ark+=13960=t76t1nr0z,"Brunton, Mary", Self-Control,1811
hvd.32044004454492,George Bernard Shaw,Pygmalion,1913
hvd.32044010067551,"Hearne, Mary", The Lover's Week,1718
hvd.32044010452308,HG Wells,Kipps,1905
hvd.32044014279723,Jane Webb,The mummy!,1827
hvd.32044029018009,Rudyard Kipling,Just So Stories,1902
hvd.32044050809581,"Hunt, Isobel Violet", The Maiden's Progress,1894
hvd.32044072024789,Aldous Huxley,Limbo,1920
hvd.32044086828183,"Hawker, Mary Elizabeth (also used name Lanoe Falconer)", Mademoiselle Ixe,1891
hvd.32044086841368," Voynich, Ethel Lilian",  Olive Latham,1904
hvd.32044086841442,Mary Augusta Ward,Helbeck of Bannisdale,1898
hvd.32044086842200,"Worboise or Guyton, Emma Jane", The Wife's Trials and Triumphs,1860
hvd.32044086863024,"Keary, Charles Francis"," ""Rigel: a Mystery""",1903
hvd.32044098299647,Ford Madox Ford,Romance,1903
hvd.hn1efy,"Dowie, M?nie Muriel", The Crook of the Bough,1898
hvd.hn1gkq,Ellen Wood,East Lynne,1861
hvd.hn1gqx,Richard Marsh,The Beetle,1897
hvd.hn1ke1,"Mundy, Talbot", Hira Singh,1918
hvd.hn1lgp,"Hyne, C.J. Cutcliffe", Adventures of Captain Cuttle,1901
hvd.hn1p,"Cross, Victoria (actually Annie Sophie Cory)", Life? Shop Window,1907
hvd.hn1qug,"Askew, Alice and Claude", The Plains of Silence,1907
hvd.hn1uc3,"Pedler, Margaret", Hermit of Far End,1920
hvd.hn29eg,"Von Arnim, Elizabeth", The Princess Priscilla's Fortnight,1905
hvd.hn2f8p,Alexander Pope,Windsor Forest,1728
hvd.hn2isi,"Cameron, Mrs. Lovett", In a Grass County,1886
hvd.hn2ns5,Walter Scott,The Black Dwarf,1816
hvd.hn5m6d,"Cullum, Ridgwell", The Triumph of John Kars,1917
hvd.hn6gv2,Alexander Pope,Poetical Works,1728
hvd.hnp62g,"Hunt, Margaret", This indenture witnesseth,1875
hvd.hnt4ib,MP Shiel,The Lost Vial,1913
hvd.hw21ys,"Frankau, Julia (Under Danby, Frank)", The Heart of a Child,1910
hvd.hwebt7,"Dickens, Charles,",Oliver Twist,1838
hvd.hwil4r,"Austin, Alfred", The Season: A Satire,1861
hvd.hwiwh6,"Austen, Jane,",Mansfield Park,1814
hvd.hwjvzj,"Helen, Maria Edgeworth", Tales and Novels,1832
hvd.hwkagf,"Hawker, Mary Elizabeth (also used name Lanoe Falconer)", Cecilia de No?l,1891
hvd.hwkpy8,Frederick Marryat,Children of the New Forest,1847
hvd.hwnnx5,"Radcliffe, Ann Ward,","The Italian, or the confessional of the black penitents;",1797
hvd.hwp48f,Arthur Sullivan,HMS Pinafore,1878
hvd.hwp7xc,"Sheridan, Richard Brinsley,",The school for scandal,1777
hvd.hwpkfz,"Holcroft, Thomas", The Road to Ruin,1792
hvd.hwpwvf,Percy Shelley,Poetic Works of Percy Shelley,1810
hvd.hxdl9c,"Mundy, Talbot", The eye of Zeitoon,1920
hvd.hxg8ux,"Smith, Charlotte Turner", Elegiac Sonnets,1786
hvd.hxk4l9,"Edgeworth, Maria,",Harrington and Ormond,1817
hvd.hxkcgw,"Williams, Helen Maria", Poems,1788
inu.30000003137357,"Beckford, William,",Vathek,1782
inu.30000005103837,"Browning, Elizabeth Barrett,",Aurora Leigh,1856
inu.30000005351618,"Trollope, Anthony,",The warden,1855
inu.30000007661410,DH Lawrence,Women in Love,1920
inu.30000010353443,"Peacock, Thomas Love,",Headlong Hall,1816
inu.30000011823097,"Dickens, Charles,",A tale of two cities,1859
inu.30000029292749,"Dickens, Charles,",The life and adventures of Martin Chuzzlewit,1844
inu.30000035079544,"Morris, William,",The story of Sigurd the Volsung and the fall of the Niblungs,1876
inu.30000042776348,"Oliphant,",The wizard's son,1884
inu.30000076413941,"Hull, E.M.", The Sheik,1919
inu.30000091678395,Charlotte Turner Smith,Marchmont,1796
inu.30000115350112,"Holcroft, Thomas", Anna St. Ives,1792
inu.30000115425625,"Keir, Susanna (""by a lady"")", Interesting Memoirs,1785
inu.32000000659161,"Shelley, Percy Bysshe,",Alastor,1816
inu.32000001393703,"Gissing, George,",New Grub Street,1891
inu.32000002871509,"Forster, E. M.",The longest journey,1907
inu.32000002993279,Jonathan Swift,Tale of a Tub and Battle of the Books,1704
inu.32000003256429,"Dickens, Charles,",Bleak house,1853
inu.32000004064921,"Eliot, George,",The mill on the Floss,1860
inu.32000005557949,"Childers, Erskine,",The riddle of the sands;,1903
inu.32000006981734,"Helme, Elizabeth,","St. Clair of the isles; or, The outlaws of Barra;",1840
inu.32000009070048,"Machen, Arthur,",The hill of dreams,1907
inu.32000009291495,"Chesterton, G. K.",The Napoleon of Notting Hill,1904
inu.32000009367964,"Trollope, Anthony,",Barchester Towers,1857
