htid,author,title,year
osu.32435030175145, Sophie von,Pomona f̪r Teutschlands T_chte,1783
hvd.hwty6k, Sophie von,Geschichte von Miss Lony und der sch_ne Bund,1789
uiug.30112069447040, Sophie von,Neuere moralische Erzehlungen,1786
uc1.b4082897, Jakob Michael Reinhold,Pandaemonium Germanicum,1775
uc1.$b611535, Jakob Michael Reinhold,Die sizilianische Vesper,1782
mdp.39015064444816, Friedrich Maximilian,"Fausts Leben, Thaten und Hollenfahrt",1791
hvd.hwspzn, Friedrich Maximilian,Die Geschichte vom golden Hahn,1785
mdp.39015027229718, Friedrich Maximilian,Otto,1775
ucm.5326433718, Friedrich Maximilian,Sahir Eva̍s Erstgeborner im Paradiese,1798
njp.32101066906445 , Friedrich Maximilian,Der Weltmann und der Dichter,1798
njp.32101066919695, Friedrich Maximilian,Geschichte eines Teutschen der neusten Zeit,1798
njp.32101066906403, Friedrich Maximilian,Reisen von dem S̪ndfluth,1795
inu.30000118550643, Friedrich Maximilian,Geschichte Raphael de Aquillas,1793
ucw.ark+=13960=t06x05q1x, Friedrich Maximilian,Die falschen Spieler,1782
uc1.$b154328, Friedrich Maximilian,"Plimplamplasko, der hohe Geist, heut Genie",1780
uc1.$b615105, Friedrich Maximilian,Dad leidende Weib,1775
mdp.39015014653235, Christoph Martin,Idris,1768
hvd.hny9v7, Christoph Martin,Geschichte des Prinzen Biribinker,1789
mdp.39015030189503, Johann Wolfgang von,Egmont,1788
njp.32101062724354, Johann Wolfgang von,R_mische Elegien,1788
mdp.39015050658585, Johann Wolfgang von,West-_stlicher Divan,1827
coo.31924024691135, Johann Wolfgang von,Hermann und Dorothea,1798
hvd.hn53dr, Johann Wolfgang von,G_tz von Berlichingen mit der eisernen Hand,1773
uc1.a0000774265, Johann Wolfgang von,Wilhelm Meisters Wanderjahre,1807
hvd.hwsmpi, Johann Wolfgang von,Clavigo,1774
hvd.hwsniq, Friedrich,Die Jungfrau von Orleans,1801
uva.x000397340, Friedrich,Das Lied von der Glocke,1799
hvd.hw2q71, Friedrich,Der Geisterseher,1787
mdp.39015064440210, Friedrich,Wilhelm Tell,1803
hvd.hn27l7, Friedrich,Maria Stuart,1800
nyp.33433075729198, Friedrich,Demetrius (unfinished),1805
hvd.hwsnhi, Friedrich,Wallenstein,1799
nyp.33433075737076, E. T. A.,Die Serapions-Br̪der,1819
wu.89099206831, E. T. A.,Die Irrungen; Die Geheimnisse,1820
wu.89078666641, E. T. A.,Lebensansichten des Katers Murr,1819
mdp.39015009017040, E. T. A.,Fantasiest̪cke in Callots Manier,1814
uc1.b4706711, E. T. A.,Klein Zaches,1819
njp.32101066900992, E. T. A.,Prinzessin Brambilla,1820
wu.89040536732, Heinrich von,Michael Kohlhaas,1808
uc1.$b610905, Joseph von,Die Gl̪cksritter,1841
uc1.$b146506, Joseph von,Der letzte Held von Marienburg,1830
njp.32101068130275, Annette von,Die Judenbuche,1842
mdp.39015026439292, Adelbert von,Peter Schlemihl̍s wundersame Geschichte,1814
hvd.hnxvdp, Eduard,"Idylle vom Bodensee, oder, Fischer Martin und die Glockendiebe",1846
pst.000006825225, Eduard,Das Stuttgarter Hutzelm_nnlein,1853
nyp.33433075734107, Christian Felix,Trauerspiele,1778
njp.32101067567238, Christian Felix,"Komische Opern: Die verwandelten Weiber, Der lustige Schuster, Der Dorfdalbier",1778
uc1.b4337639, Christian Felix,Die Jagd,1770
hvd.hny9p2, Heinrich,Die Karlssch̪ler,1847
wu.89099042855, Heinrich,Graf Essex,1856
hvd.32044100912161, Heinrich,Gr_fin Chateaubriant,1843
wu.89100213826, Heinrich,Die kleine Prinzessin,1884
uc1.31175034924228, Heinrich,Der Schatten Wilhelm. Eine geschichtliche Erz_hlung,1883
njp.32101066910231, Heinrich,Ruben. Ein moderner Roman,1885
njp.32101066908938, Heinrich,Jagdbrevier,1841
inu.30000011309501, Heinrich,Louison,1858
hvd.hwrcvv, Heinrich,Herzog Bernhard: historischer Roman,1866
hvd.hny9p7, Heinrich,Reisenovellen,1834
hvd.hny9nz, Heinrich,Monaldeschi,1845
wu.89099042863, Heinrich,Die B_hminger,1880
uc1.$b154084, Heinrich,Struensee,1847
uc1.$b154083, Heinrich,Der Stallhalter von Bengalen,1868
uc1.31175005023984, Heinrich,Neue Reisennovellen,1837
uc1.$b257303, Theodor,Thomas M̪ntzer,1841
hvd.hny5eq, Theodor,Die Matadore,1850
ucw.ark+=13960=t9c53qh2x, Georg,Wozzeck und Lenz; zwei fragmente,1837
̨ mdp.39015030187481,1896 Theodor,"Frau Jenny Treibel, oder, ̱Wo sich herz zum herzen find̨",1893
wu.89099043069,1904 Theodor,Unwiederbringlich,1892
mdp.39015064530234,1890 Theodor,Graf Pet_fy,1884
hvd.hn2e2y,1905 Theodor,Stine,1890
coo.31924026174395,1907 Theodor,Vor der Sturm,1878
wu.89099034951,1920 Theodor,Ellernklipp,1881
wu.89099043077, Theodor,Unterm Birnbaum,1885
uiuo.ark+=13960=t2g73q85x,1909 Theodor,C_cile,1887
mdp.39015064532636,1900 Theodor,Grete Minde,1880
uva.x030809699,1897 Gustav,Die verlorene Handschrift,1864
nnc1.0114909413,1892 Gustav,Die Ahnen: 3. Abtheilung; Die Br̪der vom deutschen Haus,1874
wu.89100609718,1842 Gustav,"Die Brautfahrt; oder, Kunz von der Rose",1840
mdp.39015050667909,1859 Gustav,Soll und Haben,1855
wu.89038318846, Gustav,Die Ahnen: 6. Abtheilung; Aus einer kleinen Stadt,1880
nyp.33433075738348, Gustav,Die Ahnen: 2. Abtheilung; Das Nest der Zaunk_nige,1873
umn.31951001989604p,1896 Gustav,Die Ahnen: 1. Abtheilung; Ingo und Ingraban,1872
pst.000020570019,1896 Gustav,Die Ahnen: 5. Abtheilung; Die Geschwister,1878
hvd.32044102865615,1906 Gustav,Die Journalisten,1852
nyp.33433001014863, Gustav,Graf Waldemar,1850
hvd.hwew9w,1879 Gustav,Die Ahnen: 4. Abtheilung; Marcu K_nig,1876
njp.32101068645884,1919 Wilhelm,Alte Neste,1879
wu.89006686463,1910 Wilhelm,Eulenpfingsten,1875
wu.89067093484,1908 Wilhelm,Die Kinder von Finkenrode,1859
wu.89006686372, Wilhelm,"Halb M_r, halb mehr",1907
hvd.hn5ydv, Wilhelm,Der heilige Born,1861
wu.89006686505, Wilhelm,Der Dr_umling,1872
njp.32101069152351,1906 Wilhelm,Die G_nse von B̪tzow,1866
wu.89006686141,1912 Wilhelm,Des reiches Krone,1870
uc1.$b614811,1911 Wilhelm,"Die Leute aus dem Walde, ihre Sterne, Wege und Schicksal",1863
uc1.$b614812,1800 Wilhelm,Regenbogen,1890
coo.31924026306534,1910 Wilhelm,Die Sch̪dderump,1870
uc1.$b158486,1908 Wilhelm,Der Hungerpastor,1864
uva.x030805550,1890 Wilhelm,Christoph Pechlin,1873
inu.30000118577794, Wilhelm,Wunnigel,1879
uva.x030805558,1901 Wilhelm,Das Horn von Wanza,1881
njp.32101069152328, Wilhelm,Im alten Eisen,1887
wu.89006686109,1886 Wilhelm,Unruhige G_ste,1885
wu.89006686422,1901 Wilhelm,Frau Salome,1875
njp.32101069152419,1901 Wilhelm,Abu Telfan,1867
hvd.hny5ik,1890 Wilhelm,Der Lar,1889
mdp.39015064525333,1907 Wilhelm,Kloster Lugau,1894
hvd.hn3gpp,1915 Wilhelm,Else von der Tanne,1865
hvd.hny5ii, Wilhelm,Pfisters m̪hle,1884
wu.89067093567,1909 Wilhelm,Hastenbeck,1889
mdp.39015064447181, Wilhelm,Zum wilden Mann,1884
mdp.39015064525499,1902 Wilhelm,Horacker,1876
uiuo.ark+=13960=t2j67r71r,1902 Wilhelm,Nach dem gro�_en Krieg,1861
wu.89079568028,1921 Wilhelm,Prinzessin Fisch; Villa Sch_now,1883
wu.89006686448, Wilhelm,Fabian und Sebastian,1882
inu.30000115241535, Wilhelm,Unseres Herrgotts Canzlei,1862
njp.32101069152302, Wilhelm,Meister Autor oder die Geschichten vom versunkenen Garten,1874
uiug.30112055872268,1918 Wilhelm,Die schwarze Geleere; Wer kann es wenden?,1861
uc1.b3160397,1918 Theodor,Zur ̱Wald- und Wasserfreudę,1878
uc1.b4729905,1921 Theodor,Ein stiller Musikant,1875
njp.32101068171741,1921 Theodor,Wenn die ��pfel reif sind,1857
njp.32101072907890,1921 Theodor,Es waren zwei K_nigskinder,1884
njp.32101072907932, Theodor,Zur Chronik von Griehuus,1884
wu.89075110361, Theodor,Vor Zeiten,1886
uc1.b3160398,1917 Theodor,In der Sommer-Mondnacht,1860
wu.89006187801,1880 Theodor,Eekenhof; Im Brauer-Haufe,1879
wu.89006131775,1881 Theodor,"Der Herr Etatsrat, Die S_hne des Senators",1881
mdp.39015064520615,1902 Theodor,Schweigen,1883
wu.89006187835, Theodor,Auf der Universit_t,1863
mdp.39015065918453,1904 Theodor,Ein Bekenntnis,1887
mdp.39015064520680,1901 Theodor,In St. J̪rgen,1867
uc1.$b613332,1900 Gerhart,Hanneles Himmelfahrt,1894
mdp.39015030129715, Gerhart,Der rote Hahn,1901
mdp.39015064451324, Gerhart,Elga,1905
mdp.39015064503348, Gerhart,Die Ratten,1911
njp.32101069188140, Gerhart,Schluck und Jau,1900
mdp.39015030129632,1901 Gerhart,Michael Kramer,1900
uc1.b3837190, Gerhart,Die Jungfern vom Bischofsberg,1907
uc1.$b468709, Gerhart,College Crampton,1896
mdp.39015064520334, Gerhart,Die versunkene Glocke,1897
hvd.hx1pxu, Gerhart,Kaiser Karls Geisel. Ein Legendenspiel,1908
hvd.hny6uz, Gerhart,Und Pippa tanzt,1906
uc1.$b613466, Gerhart,Winterballade,1917
coo.31924026236756, Gerhart,Die Weber,1892
uc1.31175023760559,1910 Gerhart,Familiendramen,1906
umn.31951002086151y,1922 Gerhart,Der Ketzer von Soana,1918
hvd.hx1pxs, Gerhart,Rose Bernd,1903
coo.31924026352439,1914 Gerhart,Einsame Menschen,1891
mdp.39015030129970, Gerhart,Atlantis,1912
nyp.33433075745491, Gerhart,Florian Geyer,1896
njp.32101069187761, Gerhart,Gabriel Schillings Flucht,1912
mdp.39015069622259, Gerhart,Der arme Heinrich,1902
uc1.$b622811, Gerhart,"Der Narr in Christo, Emanuel Quit",1910
uc1.$b613465, Gerhart,Der weisse Heiland,1920
mdp.39015030129541, Gerhart,Der Bogen des Odysseus,1912
uva.x000761400,1899 Gerhart,Das Friedensfest,1890
mdp.39015064503017, Gerhart,Lohengrin,1913
mdp.39015031627550, Gerhart,Parsival,1914
uc1.$b613328, Gerhart,Griselda,1909
uc1.b4925892,1913 Hermann,Peter Camenzind,1904
mdp.39015038058114, Hermann,Ro�_halde,1914
uc1.b3707487, Hermann,Umwege,1912
njp.32101073301374, Hermann,Diesseits,1907
uc1.32106002233044, Hermann,Demian,1919
pst.000005814824, Hermann,Sch_n ist die Jugend,1916
mdp.39015002204256, Hermann,Gertrud,1910
inu.30000055119477,1910 Hermann,Unterm Rad,1906
njp.32101073301382, Hermann,Knulp; drei Geschichte aus dem Leben Knulps,1915
njp.32101073301408, Hermann,Romantische Lieder,1899
mdp.39015028990235, Hermann,M_rchen,1919
uc1.31158001415636,1959 Thomas,Buddenbrooks,1901
mdp.39015064451985, Thomas,Fiorenza,1906
mdp.39015064452124,1919 Thomas,Herr und Hund; Gesang vom Kindchen,1918
mdp.39015041327803,1925 Thomas,Der Tod und Venedig,1911
njp.32101073302513,1914 Thomas,Das Wunderkind,1903
mdp.39015063838026,1955 Thomas,K_nigliche Hoheit,1909
mdp.39015028576141,1909 Thomas,Der kleine Herr Friedmann; Der Wille zum Gl̪ck; Entt_uschung; Der Bajazzo; Tobias Mindernickel; Luischen; Die Hungernden; Das Eisenbahnungsgl̪ck,1900
mdp.39015050636599,1912 Thomas,Der Weg zum Friedhof; Tristan; Der Kleiderschrank; Luischen; Gladius Dei; Tonio Kr_ger,1900
njp.32101073300269,1906 Bruno Alfred,Lydia und M_xchen,1905
uc1.$b164836,1917 Bruno Alfred,Die drei Spr̪nge des Wang-lun,1916
njp.32101073300251, Bruno Alfred,"Die Ermordung einer Butterblume, und andere Erz_hlungen",1913
uc1.b3442505, Bruno Alfred,Wadzeks Kampf mit der Dampfturbine,1918
mdp.39015030176708,1922 Bruno Alfred,Wallenstein,1920
uc1.$b164828, Bruno Alfred,Die Lobensteiner reisen nach B_hmen,1917
uc1.b2857437,1920 Richard,Zwei Menschen,1903
nyp.33433047055276, Richard,Aber die Liebe,1893
nyp.33433081858841, Richard,Weib und Welt,1901
mdp.39015030176286, Richard,Zwischen Volk und Menschheit,1919
uc1.$b783953, Richard,Die Verwandlungen der Venus,1907
uc1.b3633188, Richard,Sch_ne wilde Welt,1913
njp.32101067528982, Richard,Der Mitmensch,1896
uc1.$b781802,1898 Richard,Erl_sungen,1891
wu.89103501581,1920 Richard,Kriegs-Brevier,1917
uc1.$b781805,1918 Richard,Die Menschenfreunde,1917
uc1.$b614739, Richard,Michel Michael,1911
pst.000007426834,1909 Richard,Lebensbl_tter,1895
njp.32101067528958, Richard,Lucifer,1899
mdp.39015084410318, Richard,Fitzebutze,1907
njp.32101051404323,1912 Richard,Die Lebensmesse,1909
uiuo.ark+=13960=t6j10bd46, Paul,Das graue Tuch und zehn Prozent Wei�_,1914
uc1.b3526028, Paul,Die grosse Revolution,1902
uiuo.ark+=13960=t7qn6dp7c, Paul,Immer mutig!,1902
njp.32101074767540, Paul,Das Paradies,1893
njp.32101074767532, Paul,Die Seeschlange,1901
njp.32101074767177, Paul,Astrale Novelletten,1912
uc1.b3463385, Paul,Lesab_ndio,1913
hvd.hny5af, Paul,Liw_na und Kaid�h,1902
njp.32101067189694, Paul,Cervantes,1904
njp.32101074767524, Paul,Der Tod der Barmekiden,1897
njp.32101007618042, Paul,Ich liebe dich!,1897
njp.32101019500014, Paul,Rakk��x der Billionaer,1901
uc1.$b784360, Paul,M̪nchhausen und Clarissa,1906
njp.32101037953682, Paul,Der Aufgang der Sonne,1903
njp.32101074767557, Paul,Na Prost!,1898
njp.32101074767565, Paul,Das gro�_e Licht,1912
njp.32101019500006, Paul,Der Kaiser von Utopia,1904
njp.32101020527287, Paul,Tarub,1897
hvd.32044087194361, Paul,Machtsp_�_e,1904
nyp.33433043339195, Karl,Der Schut,1892
nyp.33433043339245, Karl,̱Weihnacht!̨,1897
nyp.33433071631497, Karl,Im Reiche des silbernen L_wen,1898
inu.30000007129244,1950 Karl,Der Schatz im Silbersee,1890
inu.30000048968618,1909 Karl,Im Land des Mahdi,1896
nnc1.cu50308807,1899 Karl,Der schwarze Mustang,1896
nyp.33433071631554,1897 Karl,Satan und Ischariot,1896
osu.32435079501748,1896 Karl,Am stillen Ocean,1894
inu.30000120622018, Karl,Himmelgedanken,1900
nnc1.0315056392,1853 Achim von,"Armuth, Reichtum, Schuld und Bu�_e der Gr_fin Delores",1810
hvd.hwsq26, Achim von,Halle und Jerusalem,1811
uc1.b3445032, Achim von,Das Gleichen,1819
inu.32000013165834,1918 Achim von,Isabella von ��gypten; Kaiser Karl des F̪nften erste Jugendliebe,1812
njp.32101067641231,1922 Achim von,F̪rst Ganzgott und S_nger Halbgott,1818
hvd.hnws4c,1883 Achim von,Hollin̍s Liebeleben,1802
wu.89068016393,1840 Achim von,Schaub̪hne,1813
mdp.39015041626840,1917 Achim von,Die Majoratsherren,1820
wu.89005898424,1910 Clemens,Aus der Chronicka eines fahrenden Sch̪lers,1818
njp.32101068564747,1921 Clemens,Die mehreren Wehm̪ller und ungarischen Nationalgesichter,1817
uc1.b4132718,1903 Clemens,Romanzen vom Rosenkranz,1852
njp.32101068564721,1883 Clemens,Gustav Wasa,1800
uc1.$b781799,1910 August von,Venezianische Sonette,1825
uc1.$b157007, August von,Lyrische Bl_tter,1821
wu.89016569816,1849 Ferdinand,Ein Glaubensbekenntni�_,1844
wu.89016803652, Ferdinand,Zwischen zwei Garben,1849
uc1.a0000025619,1900 Friedrich,Agnes Bernauer,1851
wu.89038317368,1862 Friedrich,Die Nibelungen,1861
uc1.$b459824,1851 Friedrich,Ein Trauerspiel in Sizilien,1847
mdp.39015030196003,1907 Friedrich,Herodes und Mariamne,1848
wu.89103442612, Friedrich,Demetrius (unfinished),1864
njp.32101066417120,1904 Friedrich,Gyges und sein Ring,1854
uc1.a0001440551,1841 Friedrich,Judith,1840
uc1.$b156229,1847 Friedrich,Der Diamant,1841
uc1.l0095274189,1919 Stephan,Der siebente Ring,1907
njp.32101066456573,1920 Stephan,Der Stern des Bundes,1914
uc1.32106002231188,1918 Stephan,Hymnen; Pilgerfahrten; Algabal,1890
uc1.32106002231238,1915 Stephan,Der Teppich des Lebens und die Lieder von Traum und Tod mit einem Vorspiel,1900
hvd.32044020408407,1899 Stephan,Die B̪cher der Hirten- und Preisgedichte der Sagen und S_nge und der h_ngenden Garten,1895
