htitem_id,Author,Title,Year (json)
BrennerSE.PoetiskeDikter2,Brenner Sophia Elisabeth,Poetiske Dikter,1709
Sagan om hN╠âsten,Dalin Olof von,Sagan om hästen,1740
hvd.hntee7,Creutz Gustaf Filip,Vitterhets-arbeten,1762
NordenflychtHC.Skrifter,Nordenflycht Hedvig Charlotta,Skrifter,1762
DulciU.VitterhetsNojen1,Utile Dulci,Vitterhets-nöjen. Första delen,1769
DulciU.VitterhetsNojen2,Utile Dulci,Vitterhets-nöjen. Andra delen,1770
DulciU.VitterhetsNojen3,Utile Dulci,Vitterhets-nöjen. Tredie delen,1772
hvd.hn3eut,Bergklint Olof,Vittra Arbeten,1780
uc1.a0012671178,Lidner Bengt,Valda skrifter,1783
nyp.33433075866453,Kellgren Johan Henric,Samlade skrifter,1786
uc1.$b482611,Thorild Thomas,Valda skrifter,1787
uc1.b4783535,Bellman Carl Michael,Fredmans epistlar,1790
uc1.a0000222562,Kellgren Johan Henric,Samlade skrifter,1790
nyp.33433067385926,Leopold Carl Gustaf af,Samlade skrifter,1790
nyp.33433075884274,Bellman Carl Michael,Fredmans sånger,1791
nyp.33433067385918,Leopold Carl Gustaf af,Samlade skrifter,1793
nyp.33433067385900,Leopold Carl Gustaf af,Samlade skrifter,1794
ien.35556007645617,Gyllenborg Gustaf Fredrik,Sednare vitterhets-arbeten,1795
nyp.33433075866438,Lenngren Anna Maria,Samlade skaldeförsök,1795
chi.096331740,Oxenstierna Johan Gabriel,Arbeten af Johan Gabriel Oxenstjerna v.2,1796
Gumman,Widström Ulrica Carolina,Gumman,1799
Hillas och Camilla,Widström Ulrica Carolina,Hillas och Camilla,1799
Korgen,Widström Ulrica Carolina,Korgen,1799
Til...,Widström Ulrica Carolina,Til ....,1799
Till Thelmar,Widström Ulrica Carolina,Til Thelmar,1799
Vid min sons di╠éd,Widström Ulrica Carolina,Vid min sons död,1799
chi.096331732,Oxenstierna Johan Gabriel,Arbeten af Johan Gabriel Oxenstjerna v.1,1805
nyp.33433075825541,Cederborgh Fredric,Uno von Thrazenberg berättelse af friherre Dolk,1809
mdp.39015030065885,Cederborgh Fredric,Ottar Trallings lefnads-målning,1810
PalmbladVF.Noveller1,Palmblad Vilhelm Fredrik,Noveller. Första häftet. Kärlek och Politik,1811
PalmbladVF.Noveller2,Palmblad Vilhelm Fredrik,Noveller. Andra häftet. Holmen i Sjön Dall ,1811
uc1.$b492854,Livijn Clas,Samlade skrifter,1817
CederborghF.NagotLitetOmGrefveJaquesPancrace,Cederborgh Fredric,Något litet om Grefve Jaques Pancrace von Himmel och Jord,1818
umn.319510011704783,Nicander Karl August,Samlade arbeten,1820
nyp.33433075867105,Stjernstolpe Jonas Magnus,Pelegrimen och häxmästaren,1820
uc1.$b480159,Stagnelius Erik Johan,Samlade arbeten,1821
mdp.39015055052610,Tegner Esaias,Samlade skrifter v.1,1822
hvd.hntabt,Atterbom P.D.A.,Lycksalighetens ö: sagospel i fem äfventyr,1824
uc1.$b483323,Ling Pehr Henrik,Samlade arbeten,1824
uc1.$b480158,Stagnelius Erik Johan,Samlade arbeten,1824
nyp.33433075867113,Stjernstolpe Jonas Magnus,Lunkentus,1824
hvd.hntabs,Atterbom P.D.A.,Lycksalighetens ö: sagospel i fem äfventyr,1827
umn.31951p00998889s,Bremer Fredrika,Axel och Anna,1828
hvd.hntehq,Sjöberg Erik,Samlade dikter af Vitalis,1828
hvd.hntfik,Bremer Fredrika,Famillen H***,1830
uc1.b2854362,Cederborgh Fredric,Ungdoms tidsfördrif,1831
hvd.32044010107142,Nyberg Julia,Samlade dikter,1831
hvd.32044105521470,Nyberg Julia,Samlade dikter,1832
umn.31951001198873h,Almqvist Carl Jonas Love,Törnrosens Bok,1833
umn.31951001198874f,Almqvist Carl Jonas Love,Törnrosens Bok,1834
umn.31951001198875d,Almqvist Carl Jonas Love,Törnrosens Bok,1834
uc1.$b482708,Geijer Erik Gustaf,Skaldestycken,1835
KnorringS.Illusionerna,Knorring Sophie von,Illusionerna,1836
ksmaxel,Knorring Sophie von,Axel,1836
chi.61038308,Braun Wilhelm von,Dikter,1837
nyp.33433075825400,Bremer Fredrika,Grannarne,1837
umn.31951001198876b,Almqvist Carl Jonas Love,Törnrosens Bok,1838
umn.319510011988779,Almqvist Carl Jonas Love,Törnrosens Bok,1838
umn.31951001211403m,Flygare-Carlen Emilie,Waldemar Klein,1838
ksmstands,Knorring Sophie von,Ståndsparalleller,1838
hvd.hn3jg6,Almqvist Carl Jonas Love,Amorina,1839
umn.319510011988795,Almqvist Carl Jonas Love,Törnrosens Bok,1839
mdp.39015009311781,Bremer Fredrika,Hemmet,1839
umn.319510011642494,Flygare-Carlen Emilie,Representanten,1839
wu.89104753207,Flygare-Carlen Emilie,Gustaf Lindorm,1839
BlancheA.SaraWidebeckEnTafla,Blanche August,Sara Widebäck,1840
hvd.hnqlrv,Bremer Fredrika,Trälinnan: en teckning ur forntiden,1840
hvd.hntfjh,Flygare-Carlen Emilie,Professorn och hans skyddslingar: svenskt original,1840
wu.89104753223,Flygare-Carlen Emilie,Gustaf Lindorm,1840
wu.89104753330,Flygare-Carlen Emilie,Kyrkoinvigningen i Hammarby,1840
wu.89104753355,Flygare-Carlen Emilie,Kyrkoinvigningen i Hammarby,1840
RosenJM.DenFriaKarleken,Rosen Johan Magnus,Den fria kärleken,1840
wu.89104753769,Flygare-Carlen Emilie,Skjutsgossen,1841
KnorringS.Skizzer1,Knorring Sophie von,Skizzer,1841
wu.89063410799,Flygare-Carlen Emilie,Rosen på Tistelön,1842
profningen,Wetterbergh Carl Anton,Pröfningen,1842
hvd.hntecx,Blanche August,Positivhataren,1843
chi.088379815,Knorring Sophie von,Torparen och hans omgifning,1843
uiug.30112119934708,Stålberg Wilhelmina,Lyriska toner,1843
oadamguv,Wetterbergh Carl Anton,Guvernanten,1843
wu.89104753785,Flygare-Carlen Emilie,Pål Värning: en skärgårds-ynglings äfventyr,1844
hvd.hntfji,Blanche August,Engelbrekt och hans dalkarlar,1846
uc1.$b482697,Cramær Mauritz,Femhundra riksdaler banko,1846
mdp.39015030067451,Dahlgren Fredrik August,Wermlänningarne,1846
mdp.39015030066065,Flygare-Carlen Emilie,Ett år,1846
hvd.hntect,Blanche August,Vålnaden,1847
hvd.hntfih,Blanche August,Flickan i Stadsgården,1847
hvd.hnqlry,Flygare-Carlen Emilie,En natt vid Bullar-sjön,1847
hvd.hnqlrz,Flygare-Carlen Emilie,En natt vid Bullar-sjön,1847
hvd.hntecr,Blanche August,Banditen,1848
hvd.hntecs,Blanche August,Första Älskarinnan,1848
hvd.hnqlrw,Flygare-Carlen Emilie,Jungfrutornet: sjöroman,1848
hvd.hnqlrx,Flygare-Carlen Emilie,Jungfrutornet: sjöroman,1848
hvd.hntfhl,Flygare-Carlen Emilie,En nyckfull qvinna,1848
RydbergV.Vampyren,Rydberg Viktor,Vampyren,1848
umn.31951001198880k,Almqvist Carl Jonas Love,Törnrosens Bok,1849
hvd.hntfig,Blanche August,Kråknästet,1849
bjkaropo,Börjesson Johan,Kärlek och poesi,1849
hvd.hntfhm,Flygare-Carlen Emilie,En nyckfull qvinna,1849
hvd.hntfir,Flygare-Carlen Emilie,Romanhjeltinnan,1849
umn.31951001198881i,Almqvist Carl Jonas Love,Törnrosens Bok,1850
umn.319510011988787,Almqvist Carl Jonas Love,Törnrosens Bok,1851
hvd.hntecu,Blanche August,Sonen af söder och nord,1851
hvd.hntecv,Blanche August,Sonen af söder och nord,1852
LjungstedtA.HinOndesHus,Ljungstedt Aurora,Hin ondes hus,1853
samvetet,Wetterbergh Carl Anton,Herr Simon Sellners rikedomar,1853
umn.31951001083204q,Bremer Fredrika,Hertha,1856
RydbergV.FribytarenPaOstersjon,Rydberg Viktor,Fribytaren på Östersjön,1857
uiug.30112118461729,Schwartz Marie Sophie,Mannen af börd och qvinnan af folket,1858
uc1.$b480124,Rydberg Viktor,Den siste athenaren,1859
uc1.$b480125,Rydberg Viktor,Den siste athenaren,1859
mssaam,Schwartz Marie Sophie,Arbetet adlar mannen,1859
wu.89080125099,Flygare-Carlen Emilie,Ett köpmanshus i skärgården,1860
wu.89104753280,Flygare-Carlen Emilie,Ett köpmanshus i skärgården,1860
wu.89104753306,Flygare-Carlen Emilie,Ett köpmanshus i skärgården,1860
wu.89104753322,Flygare-Carlen Emilie,Ett köpmanshus i skärgården,1860
wu.89104753397,Flygare-Carlen Emilie,Ett köpmanshus i skärgården,1860
umn.31951d01250826p,Schwartz Marie Sophie,Positivspelarens son,1863
wu.89104753744,Flygare-Carlen Emilie,Stockholmsscener bakom kulisserna: berättelser,1864
uc1.$b278356,Hedberg Frans,Bröllopet på Ulvåsa,1865
SchwartzMS.PaGothakanal,Schwartz Marie Sophie,På Götha Kanal,1865
LefflerAC.Handelsevis,Leffler Ann Charlotte,Händelsevis,1869
RydbergV.DenFlygandeHollandaren,Rydberg Viktor,Den flygande holländaren,1875
fhsvv-1,Hedberg Frans,Svart på hvitt,1876
umn.31951d009223628,Rydberg Viktor,Singoalla,1876
uc1.b4784160,Hedberg Frans,Svart på hvitt,1877
wu.89099911356,Bååth Albert Ulrik,Dikter,1879
uc1.b4784161,Hedberg Frans,Svart på hvitt,1879
hvd.hnl6m5,Strindberg August,Röda rummet,1879
FlygareCarlenE.KerstinMariasFastegafva,Flygare-Carlen Emilie,Kerstin Marias fästegåfva: karaktärsbild ur bondelifvets krönika,1880
hvd.hwlc2c,Kerfstedt Amanda,Vid vägkanten,1880
wu.89060184629,Leffler Ann Charlotte,Elfvan,1880
hvd.hn3bk4,Bååth Albert Ulrik,Nya dikter,1881
hvd.hntegl,Snoilsky Carl,Nya dikter,1881
coo.31924026330187,Strindberg August,I vårbrytningen,1881
hvd.hntfqt,Strindberg August,Mäster Olof,1881
GeijerstamG.Grakallt,Geijerstam Gustaf af,Gråkallt,1882
uva.x000386921,Leffler Ann Charlotte,Ur lifvet I,1882
uc1.b4784235,Rydberg Viktor,Dikter,1882
nyp.33433075849889,Leffler Ann Charlotte,Ur lifvet III,1883
uva.x030809850,Leffler Ann Charlotte,Ur lifvet II,1883
wu.89060185162,Leffler Ann Charlotte,Under toffeln,1883
wu.89060185824,Leffler Ann Charlotte,Sanna kvinnor,1883
wu.89017366857,Snoilsky Carl,Dikter,1883
wu.89092527043,Strindberg August,Dikter på vers och prosa,1883
hvd.hwlbpy,Agrell Alfhild,Dramatiska arbeten,1884
umn.319510012087257,Bååth Albert Ulrik,Vid allfarväg: dikter,1884
wu.89099911059,Benedictsson Victoria,Från Skåne,1884
wu.89009674094,Hansson Ola,Dikter,1884
RoosM.BerattelserOchSkizzer,Roos Mathilda,Berättelser och skizzer,1884
coo.31924026329668,Strindberg August,Sömngångarnätter på vakna dagar,1884
uc1.b000957922,Strindberg August,Giftas,1884
umn.31951001145991k,Benedictsson Victoria,Pengar,1885
umn.31951001057655r,Geijerstam Gustaf af,Erik Grane,1885
wu.89009674045,Hansson Ola,Notturno,1885
umn.319510011010271,Hedberg Tor,Johannes Karr: en uppkomlings historia,1885
umn.31951001105644t,Levertin Oscar,Konflikter,1885
mdp.39015030017084,Lundegård Axel,I gryningen,1885
uiug.30112112089534,Strindberg August,Utopier i verkligheten,1885
hvd.hwlbpz,Agrell Alfhild,Ensam,1886
hvd.hwlc4h,Hedberg Tor,Judas,1886
nyp.33433075867352,Leffler Ann Charlotte,Ur lifvet IV,1886
umn.31951001080983r,Roos Mathilda,Hårdt mot hårdt,1886
BenedictssonV.FruMarianne,Benedictsson Victoria,Fru Marianne,1887
umn.31951001066429z,Benedictsson Victoria,Folklif och småberättelser,1887
nyp.33433075825566,Fahlstedt Amalia,Ax och halm,1887
hvd.hwlc34,Geijerstam Gustaf af,Pastor Hallin,1887
HanssonO.SensitivaAmorosa,Hansson Ola,Sensitiva amorosa,1887
hvd.hwlc5a,Leffler Ann Charlotte,Kampen för lyckan,1887
nyp.33433075867501,Strindberg August,Hemsöborna,1887
mdp.39015030002888,Benedictsson Victoria,Modern,1888
umn.31951d000993323,Heidenstam Verner von,Vallfart och vandringsår,1888
mdp.39015030011061,Kerfstedt Amanda,Eva,1888
coo.31924026330302,Strindberg August,Skärkarlsliv,1888
ElkanS.DurOchMoll,Elkan Sophie,Dur och moll,1889
chi.088379522,Heidenstam  Verner von,Endymion,1889
mdp.39015030017050,Lundegård Axel,Röde prinsen,1889
hvd.hntec8,Benedictsson Victoria,Den Bergtagna,1890
umn.319510010531408,Benedictsson Victoria,Den Bergtagna,1890
hvd.hwlc3g,Geijerstam Gustaf af,Kronofogdens berättelser,1890
umn.319510010537573,Hedberg Tor,Ett eldprof,1890
nyp.33433075867345,Leffler Ann Charlotte,Ur lifvet V,1890
hvd.hwl2w8,Mörner Birger,Tattarblod,1890
nnc1.cu50268260,Nyblom Helena,Dikt och verklighet,1890
wu.89009444779,Strindberg August,I havsbandet,1890
umn.31951001170543i,Fröding Gustaf,Samlade dikter,1891
uc1.b4742311,Lagerlöf Selma,Gösta Berlings Saga,1891
nyp.33433075849103,Leffler Ann Charlotte,Tre komedier,1891
hvd.hntaam,Levertin Oscar,Legender och visor,1891
umn.319510011075883,Lundegård Axel,La Mouche,1891
uc1.b4784238,Rydberg Viktor,Vapensmeden,1891
umn.31951d00159960r,Strindberg August,Svenska öden och äfventyr,1891
hvd.hnqls1,Geijerstam Gustaf af,Stockholmsnoveller,1892
uc1.c053441504,Hansson Ola,Kärlekens trångmål,1892
chi.096331677,Heidenstam  Verner von,Hans Alenius,1892
chi.096331685,Heidenstam  Verner von,Hans Alenius,1892
mdp.39015030017043,Lundegård Axel,Titania,1892
uc1.$b305618,Hallström Per,Vilsna fåglar,1894
hvd.hwlcvm,Lagerlöf Selma,Osynliga länkar,1894
hvd.hn5b3q,Levertin Oscar,Nya dikter,1894
coo.31924026333074,Fröding Gustaf,Räggler å paschaser,1895
mdp.39015030065380,Geijerstam Gustaf af,Medusas huvud,1895
hvd.hn2ilu,Hallström Per,En gammal historia,1895
uc1.a0000025361,Hallström Per,Purpur,1895
wu.89099784118,Hansson Ola,Resan hem,1895
wu.89099784134,Hansson Ola,Resan hem,1895
hvd.hn2iln,Heidenstam  Verner von,Dikter,1895
wu.89104944889,Karlfeldt Erik Axel,Vildmarks- och kärleksvisor,1895
umn.31951001018173s,Kerfstedt Amanda,Bland fält och ängar,1895
SoderbergH.Forvillelser,Söderberg Hjalmar,Förvillelser,1895
umn.31951001170544g,Fröding Gustaf,Samlade dikter,1896
hvd.hntac7,Lundegård Axel,Dikter,1896
NyblomH.FantasierFyra,Nyblom Helena,Fantasier: fyra berättelser,1896
mdp.39015030025780,Wickström Victor Hugo,Arnliot Gällina,1896
hvd.hnqls5,Geijerstam Gustaf af,Vilse i livet,1897
mdp.39015030011244,Heidenstam Verner von,Karolinerna,1897
chi.088379873,Lagerlöf Selma,Antikrists mirakler,1897
nyp.33433075866479,Molin Pelle,Ådalens poesi,1897
wau.39352017620030,Nyblom Helena,Det var en gång,1897
uc1.b4785193,Agrell Alfhild,Nordanfrån,1898
FrodingG.Gralstank,Fröding Gustaf,Gralstänk,1898
hvd.hnqls3,Geijerstam Gustaf af,Det yttersta skäret,1898
hvd.hnqls4,Geijerstam Gustaf af,Äktenskapets komedi,1898
